Countries/Regions	Record Count	% of 8,406
PEOPLES R CHINA	3821	45.456
USA	1445	17.190
INDIA	867	10.314
IRAN	623	7.411
SOUTH KOREA	282	3.355
SAUDI ARABIA	274	3.260
ITALY	268	3.188
GERMANY	236	2.808
SPAIN	219	2.605
BRAZIL	208	2.474
EGYPT	196	2.332
AUSTRALIA	185	2.201
TAIWAN	183	2.177
FRANCE	174	2.070
ENGLAND	170	2.022
JAPAN	170	2.022
CANADA	165	1.963
SINGAPORE	150	1.784
PORTUGAL	120	1.428
NETHERLANDS	109	1.297
POLAND	101	1.202
MALAYSIA	98	1.166
PAKISTAN	88	1.047
TURKEY	81	0.964
RUSSIA	72	0.857
TURKIYE	69	0.821
CZECH REPUBLIC	65	0.773
ISRAEL	62	0.738
MEXICO	62	0.738
BELGIUM	56	0.666
SWITZERLAND	50	0.595
IRAQ	45	0.535
SOUTH AFRICA	42	0.500
SWEDEN	42	0.500
THAILAND	38	0.452
U ARAB EMIRATES	37	0.440
DENMARK	33	0.393
VIETNAM	32	0.381
FINLAND	31	0.369
GREECE	30	0.357
IRELAND	30	0.357
SCOTLAND	28	0.333
ROMANIA	27	0.321
JORDAN	25	0.297
NORTH IRELAND	25	0.297
NORWAY	25	0.297
CYPRUS	22	0.262
SERBIA	21	0.250
AUSTRIA	20	0.238
ARGENTINA	19	0.226
CHILE	12	0.143
INDONESIA	12	0.143
ESTONIA	11	0.131
NEW ZEALAND	11	0.131
UZBEKISTAN	11	0.131
BAHRAIN	10	0.119
AZERBAIJAN	9	0.107
BANGLADESH	9	0.107
BULGARIA	9	0.107
HUNGARY	9	0.107
LITHUANIA	9	0.107
SLOVAKIA	9	0.107
OMAN	8	0.095
QATAR	8	0.095
UKRAINE	8	0.095
WALES	8	0.095
KUWAIT	7	0.083
LEBANON	7	0.083
COLOMBIA	6	0.071
KAZAKHSTAN	6	0.071
NIGERIA	6	0.071
SLOVENIA	6	0.071
SUDAN	6	0.071
TUNISIA	6	0.071
ECUADOR	5	0.059
BELARUS	4	0.048
ETHIOPIA	4	0.048
MOROCCO	4	0.048
PHILIPPINES	4	0.048
ALGERIA	3	0.036
SRI LANKA	3	0.036
SYRIA	3	0.036
BOTSWANA	2	0.024
CROATIA	2	0.024
GEORGIA	2	0.024
KENYA	2	0.024
MAURITIUS	2	0.024
NEPAL	2	0.024
PALESTINE	2	0.024
TANZANIA	2	0.024
TRINIDAD TOBAGO	2	0.024
ARMENIA	1	0.012
BOLIVIA	1	0.012
BRUNEI	1	0.012
BURKINA FASO	1	0.012
CAMEROON	1	0.012
FIJI	1	0.012
LATVIA	1	0.012
LIBYA	1	0.012
NORTH MACEDONIA	1	0.012
SOMALIA	1	0.012
UGANDA	1	0.012

5 record(s) (0.059%) do not contain data in the field being analyzed
