Feature,Label,Mean,Std,Median,Missing_Pct
EK_1,0,5.1755,0.7061,5.3227,18.3
EK_1,1,5.2924,0.5494,5.381,10.1
EK_2,0,3.2943,3.1144,4.5271,18.3
EK_2,1,4.851,1.4888,5.1991,10.1
EK_3,0,1.8959,3.016,2.856,39.9
EK_3,1,3.5242,2.0813,3.8718,47.4
EK_4,0,0.7487,0.3947,0.9749,18.3
EK_4,1,0.9455,0.1812,0.9963,10.1
EK_5,0,0.7231,0.3615,0.9394,18.3
EK_5,1,0.8323,0.2794,0.9651,10.1
EK_6,0,0.7696,0.3924,0.9823,18.3
EK_6,1,0.9508,0.1744,0.9971,10.1
EK_7,0,3.8494,3.2843,3.3946,18.3
EK_7,1,6.6367,2.8109,7.5711,10.1
EK_8,0,0.4202,0.5733,0.6254,18.3
EK_8,1,0.6051,0.2028,0.6423,10.1
EK_9,0,5.3105,4.5273,5.7714,25.4
EK_9,1,8.2093,3.3767,8.0594,19.0
