Column,Missing_Count,Missing_Pct
CAT_6,109,98.2
AL_1,96,86.49
AL_27,96,86.49
AL_37,96,86.49
AL_36,96,86.49
AL_35,96,86.49
AL_34,96,86.49
AL_33,96,86.49
AL_32,96,86.49
AL_31,96,86.49
AL_30,96,86.49
AL_29,96,86.49
AL_28,96,86.49
AL_38,96,86.49
AL_5,96,86.49
AL_6,96,86.49
AL_4,96,86.49
AL_3,96,86.49
AL_2,96,86.49
AL_214,56,50.45
AL_215,56,50.45
AL_217,56,50.45
AL_25,56,50.45
AL_216,56,50.45
AL_23,56,50.45
AL_22,56,50.45
AL_21,56,50.45
AL_20,56,50.45
AL_19,56,50.45
AL_18,56,50.45
AL_17,56,50.45
AL_16,56,50.45
AL_24,56,50.45
AL_183,55,49.55
AL_184,55,49.55
AL_185,55,49.55
EK_3,49,44.14
AL_253,43,38.74
AL_252,43,38.74
AL_251,43,38.74
AL_250,43,38.74
AL_286,42,37.84
AL_287,42,37.84
AL_289,42,37.84
AL_288,42,37.84
AL_257,41,36.94
AL_237,41,36.94
AL_259,41,36.94
AL_240,41,36.94
AL_239,41,36.94
AL_238,41,36.94
AL_236,41,36.94
AL_241,41,36.94
AL_260,41,36.94
AL_235,41,36.94
AL_234,41,36.94
AL_233,41,36.94
AL_232,41,36.94
AL_231,41,36.94
AL_261,41,36.94
AL_242,41,36.94
AL_258,41,36.94
AL_263,41,36.94
AL_256,41,36.94
AL_229,41,36.94
AL_255,41,36.94
AL_254,41,36.94
AL_265,41,36.94
AL_264,41,36.94
AL_262,41,36.94
AL_243,41,36.94
AL_249,41,36.94
AL_248,41,36.94
AL_247,41,36.94
AL_246,41,36.94
AL_245,41,36.94
AL_244,41,36.94
AL_230,41,36.94
AL_283,41,36.94
AL_228,41,36.94
AL_197,41,36.94
AL_204,41,36.94
AL_203,41,36.94
AL_202,41,36.94
AL_201,41,36.94
AL_200,41,36.94
AL_199,41,36.94
AL_198,41,36.94
AL_196,41,36.94
AL_227,41,36.94
AL_187,41,36.94
AL_188,41,36.94
AL_189,41,36.94
AL_190,41,36.94
AL_191,41,36.94
AL_192,41,36.94
AL_193,41,36.94
AL_205,41,36.94
AL_206,41,36.94
AL_207,41,36.94
AL_208,41,36.94
AL_226,41,36.94
AL_225,41,36.94
AL_224,41,36.94
AL_223,41,36.94
AL_222,41,36.94
AL_221,41,36.94
AL_220,41,36.94
AL_219,41,36.94
AL_218,41,36.94
AL_213,41,36.94
AL_212,41,36.94
AL_211,41,36.94
AL_267,41,36.94
AL_210,41,36.94
AL_209,41,36.94
AL_266,41,36.94
AL_194,41,36.94
AL_268,41,36.94
AL_280,41,36.94
AL_294,41,36.94
AL_269,41,36.94
AL_293,41,36.94
AL_292,41,36.94
AL_291,41,36.94
AL_290,41,36.94
AL_285,41,36.94
AL_195,41,36.94
AL_282,41,36.94
AL_281,41,36.94
AL_284,41,36.94
AL_279,41,36.94
AL_274,41,36.94
AL_270,41,36.94
AL_278,41,36.94
AL_272,41,36.94
AL_273,41,36.94
AL_271,41,36.94
AL_275,41,36.94
AL_276,41,36.94
AL_277,41,36.94
AL_83,37,33.33
AL_75,37,33.33
AL_76,37,33.33
AL_77,37,33.33
AL_78,37,33.33
AL_79,37,33.33
AL_80,37,33.33
AL_81,37,33.33
AL_82,37,33.33
AL_84,37,33.33
AL_97,37,33.33
AL_92,37,33.33
AL_98,37,33.33
AL_85,37,33.33
AL_96,37,33.33
CAT_2,37,33.33
AL_95,37,33.33
AL_93,37,33.33
AL_94,37,33.33
AL_91,37,33.33
AL_90,37,33.33
AL_89,37,33.33
AL_88,37,33.33
AL_87,37,33.33
AL_86,37,33.33
AL_45,33,29.73
AL_50,33,29.73
AL_49,33,29.73
