Column,Missing_Count,Missing_Pct
CAT_6,384,98.97
AL_34,349,89.95
AL_35,349,89.95
AL_29,349,89.95
AL_30,349,89.95
AL_31,349,89.95
AL_32,349,89.95
AL_33,349,89.95
AL_27,349,89.95
AL_28,349,89.95
AL_36,349,89.95
AL_37,349,89.95
AL_38,349,89.95
AL_1,343,88.4
AL_5,343,88.4
AL_6,343,88.4
AL_2,343,88.4
AL_3,343,88.4
AL_4,343,88.4
AL_217,300,77.32
AL_214,300,77.32
AL_216,300,77.32
AL_215,300,77.32
AL_184,284,73.2
AL_183,284,73.2
AL_185,284,73.2
AL_253,280,72.16
AL_252,280,72.16
AL_250,280,72.16
AL_251,280,72.16
AL_286,278,71.65
AL_287,278,71.65
AL_288,278,71.65
AL_289,278,71.65
AL_241,271,69.85
AL_204,271,69.85
AL_243,271,69.85
AL_244,271,69.85
AL_245,271,69.85
AL_246,271,69.85
AL_247,271,69.85
AL_207,271,69.85
AL_206,271,69.85
AL_205,271,69.85
AL_200,271,69.85
AL_203,271,69.85
AL_202,271,69.85
AL_201,271,69.85
AL_199,271,69.85
AL_194,271,69.85
AL_195,271,69.85
AL_196,271,69.85
AL_197,271,69.85
AL_198,271,69.85
AL_242,271,69.85
AL_228,271,69.85
AL_240,271,69.85
AL_239,271,69.85
AL_210,271,69.85
AL_211,271,69.85
AL_212,271,69.85
AL_213,271,69.85
AL_218,271,69.85
AL_219,271,69.85
AL_220,271,69.85
AL_221,271,69.85
AL_222,271,69.85
AL_223,271,69.85
AL_224,271,69.85
AL_225,271,69.85
AL_226,271,69.85
AL_227,271,69.85
AL_192,271,69.85
AL_229,271,69.85
AL_230,271,69.85
AL_231,271,69.85
AL_232,271,69.85
AL_233,271,69.85
AL_234,271,69.85
AL_235,271,69.85
AL_236,271,69.85
AL_237,271,69.85
AL_238,271,69.85
AL_193,271,69.85
AL_209,271,69.85
AL_191,271,69.85
AL_280,271,69.85
AL_271,271,69.85
AL_272,271,69.85
AL_273,271,69.85
AL_190,271,69.85
AL_275,271,69.85
AL_276,271,69.85
AL_277,271,69.85
AL_278,271,69.85
AL_279,271,69.85
AL_281,271,69.85
AL_269,271,69.85
AL_282,271,69.85
AL_283,271,69.85
AL_284,271,69.85
AL_285,271,69.85
AL_290,271,69.85
AL_291,271,69.85
AL_292,271,69.85
AL_293,271,69.85
AL_294,271,69.85
AL_270,271,69.85
AL_274,271,69.85
AL_268,271,69.85
AL_256,271,69.85
AL_249,271,69.85
AL_248,271,69.85
AL_187,271,69.85
AL_188,271,69.85
AL_189,271,69.85
AL_267,271,69.85
AL_208,271,69.85
AL_254,271,69.85
AL_255,271,69.85
AL_257,271,69.85
AL_258,271,69.85
AL_259,271,69.85
AL_260,271,69.85
AL_261,271,69.85
AL_262,271,69.85
AL_263,271,69.85
AL_264,271,69.85
AL_265,271,69.85
AL_266,271,69.85
AL_17,266,68.56
AL_16,266,68.56
AL_25,266,68.56
AL_18,266,68.56
AL_19,266,68.56
AL_20,266,68.56
AL_21,266,68.56
AL_22,266,68.56
AL_23,266,68.56
AL_24,266,68.56
AL_88,249,64.18
AL_84,249,64.18
AL_98,249,64.18
AL_85,249,64.18
AL_75,249,64.18
AL_76,249,64.18
AL_77,249,64.18
AL_78,249,64.18
AL_79,249,64.18
AL_80,249,64.18
AL_81,249,64.18
AL_82,249,64.18
AL_83,249,64.18
AL_97,249,64.18
AL_86,249,64.18
AL_87,249,64.18
AL_89,249,64.18
AL_90,249,64.18
AL_91,249,64.18
AL_92,249,64.18
AL_93,249,64.18
AL_94,249,64.18
AL_95,249,64.18
CAT_2,249,64.18
AL_96,249,64.18
AL_174,205,52.84
AL_175,205,52.84
AL_177,205,52.84
AL_173,205,52.84
AL_176,205,52.84
AL_169,205,52.84
AL_178,205,52.84
AL_179,205,52.84
AL_180,205,52.84
AL_181,205,52.84
AL_182,205,52.84
AL_171,205,52.84
AL_172,205,52.84
AL_168,205,52.84
AL_170,205,52.84
AL_134,205,52.84
AL_118,205,52.84
AL_119,205,52.84
AL_120,205,52.84
AL_121,205,52.84
AL_122,205,52.84
AL_123,205,52.84
AL_124,205,52.84
AL_125,205,52.84
AL_126,205,52.84
AL_127,205,52.84
AL_128,205,52.84
AL_129,205,52.84
AL_130,205,52.84
AL_131,205,52.84
AL_132,205,52.84
AL_117,205,52.84
AL_116,205,52.84
AL_115,205,52.84
AL_105,205,52.84
AL_99,205,52.84
AL_100,205,52.84
AL_101,205,52.84
AL_102,205,52.84
AL_103,205,52.84
AL_104,205,52.84
AL_106,205,52.84
AL_114,205,52.84
AL_107,205,52.84
AL_108,205,52.84
AL_109,205,52.84
AL_110,205,52.84
AL_112,205,52.84
AL_113,205,52.84
AL_133,205,52.84
AL_111,205,52.84
AL_135,205,52.84
AL_161,205,52.84
AL_154,205,52.84
AL_155,205,52.84
AL_156,205,52.84
AL_157,205,52.84
AL_159,205,52.84
AL_160,205,52.84
AL_162,205,52.84
AL_152,205,52.84
AL_163,205,52.84
AL_164,205,52.84
AL_165,205,52.84
AL_166,205,52.84
AL_167,205,52.84
AL_136,205,52.84
AL_153,205,52.84
AL_158,205,52.84
AL_151,205,52.84
AL_145,205,52.84
AL_137,205,52.84
AL_150,205,52.84
AL_139,205,52.84
AL_140,205,52.84
AL_141,205,52.84
AL_142,205,52.84
AL_143,205,52.84
AL_144,205,52.84
AL_138,205,52.84
AL_146,205,52.84
AL_149,205,52.84
AL_147,205,52.84
AL_148,205,52.84
AL_312,190,48.97
AL_311,190,48.97
AL_310,190,48.97
AL_309,190,48.97
AL_308,190,48.97
AL_307,190,48.97
AL_306,190,48.97
AL_305,190,48.97
AL_304,190,48.97
AL_303,190,48.97
AL_314,190,48.97
AL_302,190,48.97
AL_301,190,48.97
AL_300,190,48.97
AL_299,190,48.97
AL_298,190,48.97
AL_295,190,48.97
AL_296,190,48.97
AL_297,190,48.97
AL_313,190,48.97
AL_326,190,48.97
AL_315,190,48.97
AL_325,190,48.97
AL_333,190,48.97
AL_334,190,48.97
AL_332,190,48.97
AL_316,190,48.97
AL_330,190,48.97
AL_329,190,48.97
AL_328,190,48.97
AL_327,190,48.97
AL_331,190,48.97
AL_324,190,48.97
AL_322,190,48.97
AL_321,190,48.97
AL_320,190,48.97
AL_319,190,48.97
AL_318,190,48.97
AL_317,190,48.97
AL_323,190,48.97
AL_15,173,44.59
AL_12,173,44.59
AL_13,173,44.59
AL_14,173,44.59
AL_7,173,44.59
AL_9,173,44.59
AL_8,173,44.59
AL_10,173,44.59
AL_11,173,44.59
AL_26,166,42.78
CAT_1,166,42.78
AL_66,146,37.63
AL_39,146,37.63
AL_57,146,37.63
AL_59,146,37.63
AL_60,146,37.63
AL_61,146,37.63
AL_62,146,37.63
AL_63,146,37.63
AL_40,146,37.63
AL_65,146,37.63
AL_67,146,37.63
AL_68,146,37.63
AL_69,146,37.63
AL_70,146,37.63
AL_71,146,37.63
AL_72,146,37.63
AL_73,146,37.63
AL_74,146,37.63
AL_58,146,37.63
AL_64,146,37.63
AL_56,146,37.63
AL_48,146,37.63
AL_41,146,37.63
AL_55,146,37.63
AL_43,146,37.63
AL_44,146,37.63
AL_45,146,37.63
AL_46,146,37.63
AL_47,146,37.63
AL_42,146,37.63
AL_50,146,37.63
AL_51,146,37.63
AL_52,146,37.63
AL_53,146,37.63
AL_54,146,37.63
AL_49,146,37.63
EK_3,129,33.25
AL_186,101,26.03
EK_6,24,6.19
EK_9,24,6.19
EK_2,23,5.93
EK_4,23,5.93
EK_7,23,5.93
EK_5,23,5.93
EK_1,23,5.93
CAT_5,23,5.93
CAT_4,23,5.93
CAT_3,23,5.93
EK_8,23,5.93
AA_2,22,5.67
AA_1,22,5.67
Variant_ID,0,0.0
Label,0,0.0
