Column,Missing_Count,Missing_Pct
CAT_6,2864,97.71
AL_29,2679,91.4
AL_36,2679,91.4
AL_33,2679,91.4
AL_32,2679,91.4
AL_30,2679,91.4
AL_31,2679,91.4
AL_27,2679,91.4
AL_28,2679,91.4
AL_34,2679,91.4
AL_35,2679,91.4
AL_37,2679,91.4
AL_38,2679,91.4
AL_1,2637,89.97
AL_6,2637,89.97
AL_5,2637,89.97
AL_4,2637,89.97
AL_3,2637,89.97
AL_2,2637,89.97
AL_215,2179,74.34
AL_216,2179,74.34
AL_217,2179,74.34
AL_214,2179,74.34
AL_286,1952,66.6
AL_287,1952,66.6
AL_288,1952,66.6
AL_289,1952,66.6
AL_183,1946,66.39
AL_184,1946,66.39
AL_185,1946,66.39
AL_253,1940,66.19
AL_252,1940,66.19
AL_250,1940,66.19
AL_251,1940,66.19
AL_275,1891,64.52
AL_241,1890,64.48
AL_205,1890,64.48
AL_243,1890,64.48
AL_244,1890,64.48
AL_245,1890,64.48
AL_246,1890,64.48
AL_247,1890,64.48
AL_207,1890,64.48
AL_206,1890,64.48
AL_203,1890,64.48
AL_204,1890,64.48
AL_202,1890,64.48
AL_201,1890,64.48
AL_200,1890,64.48
AL_195,1890,64.48
AL_196,1890,64.48
AL_197,1890,64.48
AL_198,1890,64.48
AL_199,1890,64.48
AL_242,1890,64.48
AL_228,1890,64.48
AL_240,1890,64.48
AL_239,1890,64.48
AL_210,1890,64.48
AL_211,1890,64.48
AL_212,1890,64.48
AL_213,1890,64.48
AL_218,1890,64.48
AL_219,1890,64.48
AL_220,1890,64.48
AL_221,1890,64.48
AL_222,1890,64.48
AL_223,1890,64.48
AL_224,1890,64.48
AL_225,1890,64.48
AL_226,1890,64.48
AL_227,1890,64.48
AL_193,1890,64.48
AL_229,1890,64.48
AL_230,1890,64.48
AL_231,1890,64.48
AL_232,1890,64.48
AL_233,1890,64.48
AL_234,1890,64.48
AL_235,1890,64.48
AL_236,1890,64.48
AL_237,1890,64.48
AL_238,1890,64.48
AL_194,1890,64.48
AL_209,1890,64.48
AL_192,1890,64.48
AL_280,1890,64.48
AL_270,1890,64.48
AL_271,1890,64.48
AL_272,1890,64.48
AL_191,1890,64.48
AL_274,1890,64.48
AL_276,1890,64.48
AL_277,1890,64.48
AL_278,1890,64.48
AL_279,1890,64.48
AL_281,1890,64.48
AL_268,1890,64.48
AL_282,1890,64.48
AL_283,1890,64.48
AL_284,1890,64.48
AL_285,1890,64.48
AL_290,1890,64.48
AL_291,1890,64.48
AL_292,1890,64.48
AL_293,1890,64.48
AL_294,1890,64.48
AL_269,1890,64.48
AL_273,1890,64.48
AL_267,1890,64.48
AL_256,1890,64.48
AL_188,1890,64.48
AL_189,1890,64.48
AL_190,1890,64.48
AL_266,1890,64.48
AL_249,1890,64.48
AL_208,1890,64.48
AL_254,1890,64.48
AL_255,1890,64.48
AL_257,1890,64.48
AL_248,1890,64.48
AL_258,1890,64.48
AL_259,1890,64.48
AL_260,1890,64.48
AL_261,1890,64.48
AL_262,1890,64.48
AL_263,1890,64.48
AL_264,1890,64.48
AL_265,1890,64.48
AL_187,1890,64.48
AL_25,1876,64.01
AL_20,1876,64.01
AL_21,1876,64.01
AL_22,1876,64.01
AL_24,1876,64.01
AL_19,1875,63.97
AL_18,1875,63.97
AL_17,1875,63.97
AL_16,1875,63.97
AL_23,1875,63.97
AL_88,1734,59.16
AL_84,1734,59.16
AL_98,1734,59.16
AL_85,1734,59.16
AL_75,1734,59.16
AL_76,1734,59.16
AL_77,1734,59.16
AL_78,1734,59.16
AL_79,1734,59.16
AL_80,1734,59.16
AL_81,1734,59.16
AL_82,1734,59.16
AL_83,1734,59.16
AL_97,1734,59.16
AL_86,1734,59.16
AL_87,1734,59.16
AL_89,1734,59.16
AL_90,1734,59.16
AL_91,1734,59.16
AL_92,1734,59.16
AL_93,1734,59.16
AL_94,1734,59.16
AL_95,1734,59.16
CAT_2,1734,59.16
AL_96,1734,59.16
AL_174,1445,49.3
AL_175,1445,49.3
AL_177,1445,49.3
AL_173,1445,49.3
AL_176,1445,49.3
AL_169,1445,49.3
AL_178,1445,49.3
AL_179,1445,49.3
AL_180,1445,49.3
AL_181,1445,49.3
AL_182,1445,49.3
AL_171,1445,49.3
AL_172,1445,49.3
AL_168,1445,49.3
AL_170,1445,49.3
AL_134,1445,49.3
AL_117,1445,49.3
AL_118,1445,49.3
AL_119,1445,49.3
AL_120,1445,49.3
AL_121,1445,49.3
AL_122,1445,49.3
AL_123,1445,49.3
AL_124,1445,49.3
AL_126,1445,49.3
AL_127,1445,49.3
AL_128,1445,49.3
AL_129,1445,49.3
AL_130,1445,49.3
AL_131,1445,49.3
AL_132,1445,49.3
AL_116,1445,49.3
AL_115,1445,49.3
AL_114,1445,49.3
AL_105,1445,49.3
AL_99,1445,49.3
AL_100,1445,49.3
AL_101,1445,49.3
AL_102,1445,49.3
AL_103,1445,49.3
AL_104,1445,49.3
AL_106,1445,49.3
AL_113,1445,49.3
AL_107,1445,49.3
AL_108,1445,49.3
AL_109,1445,49.3
AL_110,1445,49.3
AL_111,1445,49.3
AL_112,1445,49.3
AL_133,1445,49.3
AL_125,1445,49.3
AL_135,1445,49.3
AL_160,1445,49.3
AL_154,1445,49.3
AL_155,1445,49.3
AL_156,1445,49.3
AL_157,1445,49.3
AL_158,1445,49.3
AL_136,1445,49.3
AL_161,1445,49.3
AL_152,1445,49.3
AL_162,1445,49.3
AL_163,1445,49.3
