Column,Missing_Count,Missing_Pct
CAT_6,372,100.0
AL_1,358,96.24
AL_27,358,96.24
AL_37,358,96.24
AL_36,358,96.24
AL_35,358,96.24
AL_34,358,96.24
AL_33,358,96.24
AL_32,358,96.24
AL_31,358,96.24
AL_30,358,96.24
AL_29,358,96.24
AL_28,358,96.24
AL_38,358,96.24
AL_5,358,96.24
AL_3,358,96.24
AL_4,358,96.24
AL_6,358,96.24
AL_2,358,96.24
AL_214,287,77.15
AL_215,287,77.15
AL_216,287,77.15
AL_217,287,77.15
AL_183,253,68.01
AL_184,253,68.01
AL_185,253,68.01
AL_289,250,67.2
AL_286,250,67.2
AL_287,250,67.2
AL_288,250,67.2
AL_24,250,67.2
AL_16,250,67.2
AL_17,250,67.2
AL_18,250,67.2
AL_19,250,67.2
AL_20,250,67.2
AL_21,250,67.2
AL_23,250,67.2
AL_22,250,67.2
AL_25,250,67.2
AL_253,249,66.94
AL_250,249,66.94
AL_251,249,66.94
AL_252,249,66.94
AL_237,242,65.05
AL_242,242,65.05
AL_241,242,65.05
AL_234,242,65.05
AL_235,242,65.05
AL_232,242,65.05
AL_238,242,65.05
AL_236,242,65.05
AL_231,242,65.05
AL_240,242,65.05
AL_244,242,65.05
AL_233,242,65.05
AL_239,242,65.05
AL_243,242,65.05
AL_256,242,65.05
AL_245,242,65.05
AL_229,242,65.05
AL_261,242,65.05
AL_260,242,65.05
AL_262,242,65.05
AL_263,242,65.05
AL_264,242,65.05
AL_265,242,65.05
AL_266,242,65.05
AL_259,242,65.05
AL_246,242,65.05
AL_258,242,65.05
AL_257,242,65.05
AL_255,242,65.05
AL_254,242,65.05
AL_249,242,65.05
AL_248,242,65.05
AL_247,242,65.05
AL_230,242,65.05
AL_283,242,65.05
AL_228,242,65.05
AL_197,242,65.05
AL_204,242,65.05
AL_203,242,65.05
AL_202,242,65.05
AL_201,242,65.05
AL_200,242,65.05
AL_199,242,65.05
AL_198,242,65.05
AL_196,242,65.05
AL_227,242,65.05
AL_187,242,65.05
AL_188,242,65.05
AL_189,242,65.05
AL_190,242,65.05
AL_191,242,65.05
AL_192,242,65.05
AL_193,242,65.05
AL_205,242,65.05
AL_206,242,65.05
AL_207,242,65.05
AL_208,242,65.05
AL_226,242,65.05
AL_225,242,65.05
AL_224,242,65.05
AL_223,242,65.05
AL_222,242,65.05
AL_221,242,65.05
AL_220,242,65.05
AL_219,242,65.05
AL_218,242,65.05
AL_213,242,65.05
AL_212,242,65.05
AL_211,242,65.05
AL_268,242,65.05
AL_210,242,65.05
AL_209,242,65.05
AL_267,242,65.05
AL_194,242,65.05
AL_269,242,65.05
AL_280,242,65.05
AL_293,242,65.05
AL_270,242,65.05
AL_292,242,65.05
AL_291,242,65.05
AL_290,242,65.05
AL_285,242,65.05
AL_284,242,65.05
AL_282,242,65.05
AL_281,242,65.05
AL_195,242,65.05
AL_294,242,65.05
AL_275,242,65.05
AL_271,242,65.05
AL_279,242,65.05
AL_273,242,65.05
AL_274,242,65.05
AL_272,242,65.05
AL_276,242,65.05
AL_277,242,65.05
AL_278,242,65.05
AL_83,228,61.29
AL_75,228,61.29
AL_76,228,61.29
AL_77,228,61.29
AL_78,228,61.29
AL_79,228,61.29
AL_80,228,61.29
AL_81,228,61.29
AL_82,228,61.29
AL_84,228,61.29
AL_98,228,61.29
AL_92,228,61.29
AL_85,228,61.29
AL_97,228,61.29
AL_96,228,61.29
CAT_2,228,61.29
AL_94,228,61.29
AL_93,228,61.29
AL_95,228,61.29
AL_91,228,61.29
AL_90,228,61.29
AL_89,228,61.29
AL_88,228,61.29
AL_87,228,61.29
AL_86,228,61.29
AL_45,216,58.06
AL_51,216,58.06
AL_50,216,58.06
AL_49,216,58.06
AL_48,216,58.06
AL_47,216,58.06
AL_46,216,58.06
AL_53,216,58.06
AL_44,216,58.06
AL_43,216,58.06
AL_42,216,58.06
AL_41,216,58.06
AL_40,216,58.06
AL_39,216,58.06
AL_52,216,58.06
AL_73,216,58.06
AL_54,216,58.06
AL_55,216,58.06
AL_74,216,58.06
AL_72,216,58.06
AL_71,216,58.06
AL_70,216,58.06
AL_69,216,58.06
AL_68,216,58.06
AL_67,216,58.06
AL_66,216,58.06
AL_65,216,58.06
AL_64,216,58.06
AL_63,216,58.06
AL_62,216,58.06
AL_61,216,58.06
AL_60,216,58.06
AL_59,216,58.06
AL_58,216,58.06
AL_57,216,58.06
AL_56,216,58.06
EK_3,178,47.85
AL_169,170,45.7
AL_168,170,45.7
AL_110,170,45.7
AL_130,170,45.7
AL_122,170,45.7
AL_123,170,45.7
AL_124,170,45.7
AL_125,170,45.7
AL_126,170,45.7
AL_127,170,45.7
AL_128,170,45.7
AL_129,170,45.7
AL_131,170,45.7
AL_141,170,45.7
AL_132,170,45.7
AL_133,170,45.7
AL_134,170,45.7
AL_135,170,45.7
AL_136,170,45.7
AL_137,170,45.7
AL_138,170,45.7
AL_139,170,45.7
AL_121,170,45.7
AL_120,170,45.7
AL_119,170,45.7
AL_118,170,45.7
AL_99,170,45.7
AL_100,170,45.7
AL_101,170,45.7
AL_102,170,45.7
AL_103,170,45.7
AL_104,170,45.7
AL_105,170,45.7
AL_106,170,45.7
AL_107,170,45.7
AL_108,170,45.7
AL_109,170,45.7
AL_111,170,45.7
AL_112,170,45.7
AL_113,170,45.7
AL_114,170,45.7
AL_115,170,45.7
AL_116,170,45.7
AL_140,170,45.7
AL_117,170,45.7
AL_142,170,45.7
AL_162,170,45.7
AL_164,170,45.7
AL_165,170,45.7
AL_166,170,45.7
AL_167,170,45.7
AL_170,170,45.7
AL_171,170,45.7
AL_172,170,45.7
AL_173,170,45.7
AL_174,170,45.7
AL_176,170,45.7
AL_177,170,45.7
AL_178,170,45.7
AL_179,170,45.7
AL_180,170,45.7
AL_181,170,45.7
AL_182,170,45.7
AL_143,170,45.7
AL_163,170,45.7
AL_175,170,45.7
AL_161,170,45.7
AL_153,170,45.7
AL_160,170,45.7
AL_145,170,45.7
AL_146,170,45.7
AL_147,170,45.7
AL_148,170,45.7
AL_149,170,45.7
AL_150,170,45.7
AL_151,170,45.7
AL_152,170,45.7
AL_144,170,45.7
AL_154,170,45.7
AL_155,170,45.7
AL_156,170,45.7
AL_157,170,45.7
AL_158,170,45.7
AL_159,170,45.7
AL_15,152,40.86
AL_7,152,40.86
AL_8,152,40.86
AL_9,152,40.86
AL_10,152,40.86
AL_11,152,40.86
AL_13,152,40.86
AL_14,152,40.86
AL_12,152,40.86
AL_26,135,36.29
CAT_1,135,36.29
AL_318,126,33.87
AL_310,126,33.87
AL_311,126,33.87
AL_312,126,33.87
AL_313,126,33.87
AL_314,126,33.87
AL_315,126,33.87
AL_316,126,33.87
AL_317,126,33.87
AL_319,126,33.87
AL_320,126,33.87
AL_324,126,33.87
AL_325,126,33.87
AL_323,126,33.87
AL_322,126,33.87
AL_321,126,33.87
AL_308,126,33.87
AL_326,126,33.87
AL_309,126,33.87
AL_329,126,33.87
AL_307,126,33.87
AL_306,126,33.87
AL_328,126,33.87
AL_334,126,33.87
AL_333,126,33.87
AL_332,126,33.87
AL_331,126,33.87
AL_330,126,33.87
AL_295,126,33.87
AL_296,126,33.87
AL_297,126,33.87
AL_298,126,33.87
AL_299,126,33.87
AL_300,126,33.87
AL_301,126,33.87
AL_302,126,33.87
AL_303,126,33.87
AL_304,126,33.87
AL_305,126,33.87
AL_327,126,33.87
AL_186,99,26.61
CAT_3,11,2.96
CAT_4,11,2.96
EK_1,11,2.96
EK_2,11,2.96
CAT_5,11,2.96
EK_4,11,2.96
EK_5,11,2.96
EK_6,11,2.96
EK_7,11,2.96
EK_8,11,2.96
EK_9,11,2.96
AA_2,9,2.42
AA_1,9,2.42
Variant_ID,0,0.0
Label,0,0.0
