Feature,Abs_Correlation
EK_7,0.3797040356519446
EK_9,0.3218043744050711
EK_4,0.32020595336626667
EK_2,0.31627727397322825
EK_6,0.3019798024583608
EK_3,0.2961005719379125
EK_8,0.23181507655632183
AL_83,0.21185228321440688
AL_92,0.17273862882192645
AL_77,0.16483877428097377
EK_5,0.15449354332177442
AL_34,0.1251249391150833
AL_26,0.11988997043493042
AL_32,0.11587281552388544
AL_95,0.10713781002566374
AL_186,0.10410805681361526
AL_27,0.10357516924466922
AL_223,0.10333941087612121
AL_214,0.1016461343924158
AL_93,0.09978128230799421
AL_65,0.09692589686166364
AL_234,0.09647567263863399
AL_136,0.0915873269824331
AL_46,0.09048558042024778
EK_1,0.08505849261221926
AL_35,0.0845609893655669
AL_45,0.0845084810125844
AL_298,0.08346858510794551
AL_318,0.08136208152874763
AL_42,0.08014536256539945
