Column,Miss_Pathogenic_Pct,Miss_Benign_Pct,Difference_Pct,Abs_Difference
AL_19,72.82,39.64,33.18,33.18
AL_16,72.82,39.64,33.18,33.18
AL_23,72.82,39.64,33.18,33.18
AL_18,72.82,39.64,33.18,33.18
AL_17,72.82,39.64,33.18,33.18
AL_25,72.82,39.77,33.05,33.05
AL_24,72.82,39.77,33.05,33.05
AL_22,72.82,39.77,33.05,33.05
AL_21,72.82,39.77,33.05,33.05
AL_20,72.82,39.77,33.05,33.05
AL_216,81.57,54.48,27.1,27.1
AL_217,81.57,54.48,27.1,27.1
AL_214,81.57,54.48,27.1,27.1
AL_215,81.57,54.48,27.1,27.1
AL_251,72.82,47.95,24.87,24.87
AL_253,72.82,47.95,24.87,24.87
AL_252,72.82,47.95,24.87,24.87
AL_250,72.82,47.95,24.87,24.87
AL_286,73.15,48.59,24.56,24.56
AL_289,73.15,48.59,24.56,24.56
AL_288,73.15,48.59,24.56,24.56
AL_287,73.15,48.59,24.56,24.56
AL_239,70.92,46.8,24.11,24.11
AL_240,70.92,46.8,24.11,24.11
AL_256,70.92,46.8,24.11,24.11
AL_255,70.92,46.8,24.11,24.11
AL_254,70.92,46.8,24.11,24.11
AL_248,70.92,46.8,24.11,24.11
AL_247,70.92,46.8,24.11,24.11
AL_241,70.92,46.8,24.11,24.11
AL_242,70.92,46.8,24.11,24.11
AL_243,70.92,46.8,24.11,24.11
AL_244,70.92,46.8,24.11,24.11
AL_245,70.92,46.8,24.11,24.11
AL_246,70.92,46.8,24.11,24.11
AL_249,70.92,46.8,24.11,24.11
AL_263,70.92,46.8,24.11,24.11
AL_257,70.92,46.8,24.11,24.11
AL_269,70.92,46.8,24.11,24.11
AL_279,70.92,46.8,24.11,24.11
AL_278,70.92,46.8,24.11,24.11
AL_277,70.92,46.8,24.11,24.11
AL_276,70.92,46.8,24.11,24.11
AL_274,70.92,46.8,24.11,24.11
AL_273,70.92,46.8,24.11,24.11
AL_272,70.92,46.8,24.11,24.11
AL_271,70.92,46.8,24.11,24.11
AL_270,70.92,46.8,24.11,24.11
AL_268,70.92,46.8,24.11,24.11
AL_258,70.92,46.8,24.11,24.11
AL_267,70.92,46.8,24.11,24.11
AL_266,70.92,46.8,24.11,24.11
AL_265,70.92,46.8,24.11,24.11
AL_264,70.92,46.8,24.11,24.11
AL_237,70.92,46.8,24.11,24.11
AL_262,70.92,46.8,24.11,24.11
AL_261,70.92,46.8,24.11,24.11
AL_260,70.92,46.8,24.11,24.11
AL_259,70.92,46.8,24.11,24.11
AL_238,70.92,46.8,24.11,24.11
AL_230,70.92,46.8,24.11,24.11
AL_236,70.92,46.8,24.11,24.11
AL_209,70.92,46.8,24.11,24.11
AL_207,70.92,46.8,24.11,24.11
AL_187,70.92,46.8,24.11,24.11
AL_188,70.92,46.8,24.11,24.11
AL_189,70.92,46.8,24.11,24.11
AL_190,70.92,46.8,24.11,24.11
AL_191,70.92,46.8,24.11,24.11
AL_192,70.92,46.8,24.11,24.11
AL_193,70.92,46.8,24.11,24.11
AL_194,70.92,46.8,24.11,24.11
AL_195,70.92,46.8,24.11,24.11
AL_196,70.92,46.8,24.11,24.11
AL_197,70.92,46.8,24.11,24.11
AL_198,70.92,46.8,24.11,24.11
AL_199,70.92,46.8,24.11,24.11
AL_200,70.92,46.8,24.11,24.11
AL_201,70.92,46.8,24.11,24.11
AL_202,70.92,46.8,24.11,24.11
AL_203,70.92,46.8,24.11,24.11
AL_204,70.92,46.8,24.11,24.11
AL_208,70.92,46.8,24.11,24.11
AL_210,70.92,46.8,24.11,24.11
AL_235,70.92,46.8,24.11,24.11
AL_211,70.92,46.8,24.11,24.11
AL_234,70.92,46.8,24.11,24.11
AL_233,70.92,46.8,24.11,24.11
AL_232,70.92,46.8,24.11,24.11
AL_231,70.92,46.8,24.11,24.11
AL_281,70.92,46.8,24.11,24.11
AL_229,70.92,46.8,24.11,24.11
AL_228,70.92,46.8,24.11,24.11
AL_227,70.92,46.8,24.11,24.11
AL_226,70.92,46.8,24.11,24.11
AL_225,70.92,46.8,24.11,24.11
AL_224,70.92,46.8,24.11,24.11
AL_223,70.92,46.8,24.11,24.11
AL_222,70.92,46.8,24.11,24.11
AL_221,70.92,46.8,24.11,24.11
AL_220,70.92,46.8,24.11,24.11
AL_219,70.92,46.8,24.11,24.11
AL_218,70.92,46.8,24.11,24.11
AL_213,70.92,46.8,24.11,24.11
AL_212,70.92,46.8,24.11,24.11
AL_280,70.92,46.8,24.11,24.11
AL_205,70.92,46.8,24.11,24.11
AL_282,70.92,46.8,24.11,24.11
AL_294,70.92,46.8,24.11,24.11
AL_284,70.92,46.8,24.11,24.11
AL_285,70.92,46.8,24.11,24.11
AL_206,70.92,46.8,24.11,24.11
AL_290,70.92,46.8,24.11,24.11
AL_283,70.92,46.8,24.11,24.11
AL_291,70.92,46.8,24.11,24.11
AL_292,70.92,46.8,24.11,24.11
AL_293,70.92,46.8,24.11,24.11
AL_275,70.92,46.93,23.99,23.99
AL_183,72.78,48.85,23.93,23.93
AL_184,72.78,48.85,23.93,23.93
AL_185,72.78,48.85,23.93,23.93
AL_320,50.58,27.11,23.47,23.47
AL_319,50.58,27.11,23.47,23.47
AL_315,50.58,27.11,23.47,23.47
AL_318,50.58,27.11,23.47,23.47
AL_317,50.58,27.11,23.47,23.47
AL_316,50.58,27.11,23.47,23.47
AL_322,50.58,27.11,23.47,23.47
AL_314,50.58,27.11,23.47,23.47
AL_313,50.58,27.11,23.47,23.47
AL_312,50.58,27.11,23.47,23.47
AL_311,50.58,27.11,23.47,23.47
AL_310,50.58,27.11,23.47,23.47
AL_321,50.58,27.11,23.47,23.47
AL_326,50.58,27.11,23.47,23.47
AL_323,50.58,27.11,23.47,23.47
AL_324,50.58,27.11,23.47,23.47
AL_3,96.23,72.76,23.47,23.47
AL_4,96.23,72.76,23.47,23.47
AL_5,96.23,72.76,23.47,23.47
AL_6,96.23,72.76,23.47,23.47
AL_334,50.58,27.11,23.47,23.47
AL_333,50.58,27.11,23.47,23.47
AL_332,50.58,27.11,23.47,23.47
