Column,Group,Dtype,Role,Use_As_Feature
Variant_ID,ID,object,identifier,NO
AL_1,AL,float64,numeric_feature,YES
AL_2,AL,float64,numeric_feature,YES
AL_3,AL,float64,numeric_feature,YES
AL_4,AL,float64,numeric_feature,YES
AL_5,AL,float64,numeric_feature,YES
AL_6,AL,float64,numeric_feature,YES
AL_7,AL,float64,numeric_feature,YES
AL_8,AL,float64,numeric_feature,YES
AL_9,AL,float64,numeric_feature,YES
AL_10,AL,float64,numeric_feature,YES
AL_11,AL,float64,numeric_feature,YES
AL_12,AL,float64,numeric_feature,YES
AL_13,AL,float64,numeric_feature,YES
AL_14,AL,float64,numeric_feature,YES
AL_15,AL,float64,numeric_feature,YES
AL_16,AL,float64,numeric_feature,YES
AL_17,AL,float64,numeric_feature,YES
AL_18,AL,float64,numeric_feature,YES
AL_19,AL,float64,numeric_feature,YES
AL_20,AL,float64,numeric_feature,YES
AL_21,AL,float64,numeric_feature,YES
AL_22,AL,float64,numeric_feature,YES
AL_23,AL,float64,numeric_feature,YES
AL_24,AL,float64,numeric_feature,YES
AL_25,AL,float64,numeric_feature,YES
AL_26,AL,float64,numeric_feature,YES
CAT_1,CAT,object,categorical_feature,YES (encode)
AL_27,AL,float64,numeric_feature,YES
AL_28,AL,float64,numeric_feature,YES
AL_29,AL,float64,numeric_feature,YES
AL_30,AL,float64,numeric_feature,YES
AL_31,AL,float64,numeric_feature,YES
AL_32,AL,float64,numeric_feature,YES
AL_33,AL,float64,numeric_feature,YES
AL_34,AL,float64,numeric_feature,YES
AL_35,AL,float64,numeric_feature,YES
AL_36,AL,float64,numeric_feature,YES
AL_37,AL,float64,numeric_feature,YES
AL_38,AL,float64,numeric_feature,YES
AL_39,AL,float64,numeric_feature,YES
AL_40,AL,float64,numeric_feature,YES
AL_41,AL,float64,numeric_feature,YES
AL_42,AL,float64,numeric_feature,YES
AL_43,AL,float64,numeric_feature,YES
AL_44,AL,float64,numeric_feature,YES
AL_45,AL,float64,numeric_feature,YES
AL_46,AL,float64,numeric_feature,YES
AL_47,AL,float64,numeric_feature,YES
AL_48,AL,float64,numeric_feature,YES
AL_49,AL,float64,numeric_feature,YES
AL_50,AL,float64,numeric_feature,YES
AL_51,AL,float64,numeric_feature,YES
AL_52,AL,float64,numeric_feature,YES
AL_53,AL,float64,numeric_feature,YES
AL_54,AL,float64,numeric_feature,YES
AL_55,AL,float64,numeric_feature,YES
AL_56,AL,float64,numeric_feature,YES
AL_57,AL,float64,numeric_feature,YES
AL_58,AL,float64,numeric_feature,YES
AL_59,AL,float64,numeric_feature,YES
AL_60,AL,float64,numeric_feature,YES
AL_61,AL,float64,numeric_feature,YES
AL_62,AL,float64,numeric_feature,YES
AL_63,AL,float64,numeric_feature,YES
AL_64,AL,float64,numeric_feature,YES
AL_65,AL,float64,numeric_feature,YES
AL_66,AL,float64,numeric_feature,YES
AL_67,AL,float64,numeric_feature,YES
AL_68,AL,float64,numeric_feature,YES
AL_69,AL,float64,numeric_feature,YES
AL_70,AL,float64,numeric_feature,YES
AL_71,AL,float64,numeric_feature,YES
AL_72,AL,float64,numeric_feature,YES
AL_73,AL,float64,numeric_feature,YES
AL_74,AL,float64,numeric_feature,YES
AL_75,AL,float64,numeric_feature,YES
AL_76,AL,float64,numeric_feature,YES
AL_77,AL,float64,numeric_feature,YES
AL_78,AL,float64,numeric_feature,YES
AL_79,AL,float64,numeric_feature,YES
AL_80,AL,float64,numeric_feature,YES
AL_81,AL,float64,numeric_feature,YES
AL_82,AL,float64,numeric_feature,YES
AL_83,AL,float64,numeric_feature,YES
AL_84,AL,float64,numeric_feature,YES
AL_85,AL,float64,numeric_feature,YES
AL_86,AL,float64,numeric_feature,YES
AL_87,AL,float64,numeric_feature,YES
AL_88,AL,float64,numeric_feature,YES
AL_89,AL,float64,numeric_feature,YES
AL_90,AL,float64,numeric_feature,YES
AL_91,AL,float64,numeric_feature,YES
AL_92,AL,float64,numeric_feature,YES
AL_93,AL,float64,numeric_feature,YES
AL_94,AL,float64,numeric_feature,YES
AL_95,AL,float64,numeric_feature,YES
CAT_2,CAT,object,categorical_feature,YES (encode)
AL_96,AL,float64,numeric_feature,YES
AL_97,AL,float64,numeric_feature,YES
AL_98,AL,float64,numeric_feature,YES
CAT_3,CAT,object,categorical_feature,YES (encode)
CAT_4,CAT,object,categorical_feature,YES (encode)
EK_1,EK,float64,numeric_feature (risk),YES (with caution)
EK_2,EK,float64,numeric_feature (risk),YES (with caution)
EK_3,EK,float64,numeric_feature (risk),YES (with caution)
AL_99,AL,float64,numeric_feature,YES
AL_100,AL,float64,numeric_feature,YES
AL_101,AL,float64,numeric_feature,YES
AL_102,AL,float64,numeric_feature,YES
AL_103,AL,float64,numeric_feature,YES
AL_104,AL,float64,numeric_feature,YES
AL_105,AL,float64,numeric_feature,YES
AL_106,AL,float64,numeric_feature,YES
AL_107,AL,float64,numeric_feature,YES
AL_108,AL,float64,numeric_feature,YES
AL_109,AL,float64,numeric_feature,YES
AL_110,AL,float64,numeric_feature,YES
AL_111,AL,float64,numeric_feature,YES
AL_112,AL,float64,numeric_feature,YES
AL_113,AL,float64,numeric_feature,YES
AL_114,AL,float64,numeric_feature,YES
AL_115,AL,float64,numeric_feature,YES
AL_116,AL,float64,numeric_feature,YES
AL_117,AL,float64,numeric_feature,YES
AL_118,AL,float64,numeric_feature,YES
AL_119,AL,float64,numeric_feature,YES
AL_120,AL,float64,numeric_feature,YES
AL_121,AL,float64,numeric_feature,YES
AL_122,AL,float64,numeric_feature,YES
AL_123,AL,float64,numeric_feature,YES
AL_124,AL,float64,numeric_feature,YES
AL_125,AL,float64,numeric_feature,YES
AL_126,AL,float64,numeric_feature,YES
AL_127,AL,float64,numeric_feature,YES
AL_128,AL,float64,numeric_feature,YES
AL_129,AL,float64,numeric_feature,YES
AL_130,AL,float64,numeric_feature,YES
AL_131,AL,float64,numeric_feature,YES
AL_132,AL,float64,numeric_feature,YES
AL_133,AL,float64,numeric_feature,YES
AL_134,AL,float64,numeric_feature,YES
AL_135,AL,float64,numeric_feature,YES
AL_136,AL,float64,numeric_feature,YES
AL_137,AL,float64,numeric_feature,YES
AL_138,AL,float64,numeric_feature,YES
AL_139,AL,float64,numeric_feature,YES
AL_140,AL,float64,numeric_feature,YES
AL_141,AL,float64,numeric_feature,YES
AL_142,AL,float64,numeric_feature,YES
AL_143,AL,float64,numeric_feature,YES
AL_144,AL,float64,numeric_feature,YES
AL_145,AL,float64,numeric_feature,YES
AL_146,AL,float64,numeric_feature,YES
AL_147,AL,float64,numeric_feature,YES
AL_148,AL,float64,numeric_feature,YES
AL_149,AL,float64,numeric_feature,YES
AL_150,AL,float64,numeric_feature,YES
