Panel,Feature,KS Statistic,KS p-value,Significant Shift
CFTR,AL_1,0.1898,0.6153757239211698,False
CFTR,AL_2,0.483,0.0014010369596740453,False
CFTR,AL_3,0.1565,0.8234862826342333,False
CFTR,AL_4,0.2837,0.16474819120743467,False
CFTR,AL_5,0.2231,0.41423971526075226,False
CFTR,AL_6,0.3116,0.09935510139502614,False
CFTR,AL_7,0.1292,0.09216139383688983,False
CFTR,AL_8,0.2425,4.188884626965333e-05,True
CFTR,AL_9,0.1028,0.2807533523137783,False
CFTR,AL_10,0.1415,0.05002620493159594,False
CFTR,AL_11,0.1029,0.2794636232875315,False
CFTR,AL_12,0.0903,0.43364896823806537,False
CFTR,AL_13,0.0833,0.5359225122572606,False
CFTR,AL_14,0.1745,0.007459451307786254,False
CFTR,AL_15,0.1234,0.1206603324112665,False
CFTR,AL_16,0.0936,0.713923715186586,False
CFTR,AL_17,0.2731,0.0006189722630799648,True
CFTR,AL_18,0.1282,0.3276165277582977,False
CFTR,AL_19,0.1047,0.5779111009977551,False
CFTR,AL_20,0.1644,0.10525815502119194,False
CFTR,AL_21,0.1262,0.34513405307468104,False
CFTR,AL_22,0.0751,0.9069432096210841,False
CFTR,AL_23,0.1835,0.051606273416467334,False
CFTR,AL_24,0.0884,0.7742355014821615,False
CFTR,AL_25,0.1314,0.2995926424956564,False
CFTR,AL_26,0.1618,0.015496332217481291,False
CFTR,AL_27,0.1833,0.6613467803393106,False
CFTR,AL_28,0.1563,0.8265444601761166,False
CFTR,AL_29,0.0619,0.9999998505109968,False
CFTR,AL_30,0.4381,0.005506213151434412,False
CFTR,AL_31,0.096,0.997635594239498,False
CFTR,AL_32,0.2016,0.5455064179116094,False
CFTR,AL_33,0.2333,0.3653678560907149,False
CFTR,AL_34,0.2198,0.43683532113352336,False
CFTR,AL_35,0.2762,0.19029524705006734,False
CFTR,AL_36,0.2817,0.17353783264476288,False
CFTR,AL_37,0.1675,0.762046296439544,False
CFTR,AL_38,0.2516,0.2807857447526403,False
CFTR,AL_39,0.0239,0.9999999998238822,False
CFTR,AL_40,0.2039,0.003505901730921849,False
CFTR,AL_41,0.0009,1.0,False
CFTR,AL_42,0.1269,0.16770402501167964,False
CFTR,AL_43,0.3276,1.3833991371559258e-07,True
CFTR,AL_44,0.0106,1.0,False
CFTR,AL_45,0.0591,0.9437701730453731,False
CFTR,AL_46,0.5064,4.315825244283983e-18,True
CFTR,AL_47,0.0185,1.0,False
CFTR,AL_48,0.0371,0.9998517301423444,False
CFTR,AL_49,0.1851,0.010670139561545975,False
CFTR,AL_50,0.0873,0.5921499240244643,False
CFTR,AL_51,0.0884,0.5755533714013655,False
CFTR,AL_52,0.1318,0.13808010755818315,False
CFTR,AL_53,0.0101,1.0,False
CFTR,AL_54,0.0398,0.999474549293224,False
CFTR,AL_55,0.1216,0.20446646259765566,False
CFTR,AL_56,0.0088,1.0,False
CFTR,AL_57,0.047,0.9939130460617243,False
CFTR,AL_58,0.0804,0.6911955171169436,False
CFTR,AL_59,0.0131,1.0,False
CFTR,AL_60,0.0287,0.9999998039288294,False
CFTR,AL_61,0.088,0.582109632170216,False
CFTR,AL_62,0.0264,0.9999999890413539,False
CFTR,AL_63,0.0606,0.9315299666809038,False
CFTR,AL_64,0.1191,0.2237266703451654,False
CFTR,AL_65,0.0487,0.9907956484510109,False
CFTR,AL_66,0.019,1.0,False
CFTR,AL_67,0.1218,0.20331965514584827,False
CFTR,AL_68,0.0567,0.9591782670156849,False
CFTR,AL_69,0.0283,0.9999998751523433,False
CFTR,AL_70,0.1025,0.38964686811794413,False
CFTR,AL_71,0.0646,0.8956069104068493,False
CFTR,AL_72,0.041,0.9991378589627171,False
CFTR,AL_73,0.0671,0.8685438814287801,False
