,CFTR,KANSER,MASTER,PAH
AL_1,13.5,11.6,10.0,3.8
AL_2,13.5,11.6,10.0,3.8
AL_3,13.5,11.6,10.0,3.8
AL_4,13.5,11.6,10.0,3.8
AL_5,13.5,11.6,10.0,3.8
AL_6,13.5,11.6,10.0,3.8
AL_7,84.7,55.4,61.0,59.1
AL_8,84.7,55.4,61.0,59.1
AL_9,84.7,55.4,61.0,59.1
AL_10,84.7,55.4,61.0,59.1
AL_11,84.7,55.4,61.0,59.1
AL_12,84.7,55.4,61.0,59.1
AL_13,84.7,55.4,61.0,59.1
AL_14,84.7,55.4,61.0,59.1
AL_15,84.7,55.4,61.0,59.1
AL_16,49.5,31.4,36.0,32.8
AL_17,49.5,31.4,36.0,32.8
AL_18,49.5,31.4,36.0,32.8
AL_19,49.5,31.4,36.0,32.8
AL_20,49.5,31.4,36.0,32.8
AL_21,49.5,31.4,36.0,32.8
AL_22,49.5,31.4,36.0,32.8
AL_23,49.5,31.4,36.0,32.8
AL_24,49.5,31.4,36.0,32.8
AL_25,49.5,31.4,36.0,32.8
AL_26,85.6,57.2,63.0,63.7
AL_27,13.5,10.1,8.6,3.8
AL_28,13.5,10.1,8.6,3.8
AL_29,13.5,10.1,8.6,3.8
AL_30,13.5,10.1,8.6,3.8
AL_31,13.5,10.1,8.6,3.8
AL_32,13.5,10.1,8.6,3.8
AL_33,13.5,10.1,8.6,3.8
AL_34,13.5,10.1,8.6,3.8
AL_35,13.5,10.1,8.6,3.8
AL_36,13.5,10.1,8.6,3.8
AL_37,13.5,10.1,8.6,3.8
AL_38,13.5,10.1,8.6,3.8
AL_39,70.3,62.4,51.7,41.9
AL_40,70.3,62.4,51.7,41.9
AL_41,70.3,62.4,51.7,41.9
AL_42,70.3,62.4,51.7,41.9
AL_43,70.3,62.4,51.7,41.9
AL_44,70.3,62.4,51.7,41.9
AL_45,70.3,62.4,51.7,41.9
AL_46,70.3,62.4,51.7,41.9
AL_47,70.3,62.4,51.7,41.9
AL_48,70.3,62.4,51.7,41.9
AL_49,70.3,62.4,51.7,41.9
AL_50,70.3,62.4,51.7,41.9
AL_51,70.3,62.4,51.7,41.9
AL_52,70.3,62.4,51.7,41.9
AL_53,70.3,62.4,51.7,41.9
AL_54,70.3,62.4,51.7,41.9
AL_55,70.3,62.4,51.7,41.9
AL_56,70.3,62.4,51.7,41.9
AL_57,70.3,62.4,51.7,41.9
AL_58,70.3,62.4,51.7,41.9
AL_59,70.3,62.4,51.7,41.9
AL_60,70.3,62.4,51.7,41.9
AL_61,70.3,62.4,51.7,41.9
AL_62,70.3,62.4,51.7,41.9
AL_63,70.3,62.4,51.7,41.9
AL_64,70.3,62.4,51.7,41.9
AL_65,70.3,62.4,51.7,41.9
AL_66,70.3,62.4,51.7,41.9
AL_67,70.3,62.4,51.7,41.9
AL_68,70.3,62.4,51.7,41.9
AL_69,70.3,62.4,51.7,41.9
AL_70,70.3,62.4,51.7,41.9
AL_71,70.3,62.4,51.7,41.9
AL_72,70.3,62.4,51.7,41.9
AL_73,70.3,62.4,51.7,41.9
AL_74,70.3,62.4,51.7,41.9
AL_75,66.7,35.8,40.8,38.7
AL_76,66.7,35.8,40.8,38.7
AL_77,66.7,35.8,40.8,38.7
AL_78,66.7,35.8,40.8,38.7
AL_79,66.7,35.8,40.8,38.7
AL_80,66.7,35.8,40.8,38.7
AL_81,66.7,35.8,40.8,38.7
