Column,Count,Missing%,Mean,Median,Std,Min,Q1,Q3,Max,Skewness,Unique,N Outliers (3xIQR),Inferred Type
AL_1,294,89.97,0.028382,0.00234,0.088446,0.0,0.00054,0.016733,0.886988,6.1975,293,29,"probability/score [0,1]"
AL_2,294,89.97,0.029689,0.002056,0.095447,0.0,3.8e-05,0.014765,0.852892,5.8628,293,30,"probability/score [0,1]"
AL_3,294,89.97,0.027,0.001711,0.091326,0.0,4.9e-05,0.01035,0.89613,6.8973,293,48,"probability/score [0,1]"
AL_4,294,89.97,0.030877,0.000904,0.105621,0.0,1e-06,0.011973,0.928902,5.8146,292,39,"probability/score [0,1]"
AL_5,294,89.97,0.028333,0.0018,0.094132,0.0,7e-06,0.015161,0.900001,6.6063,292,29,"probability/score [0,1]"
AL_6,294,89.97,0.031484,0.0009,0.09826,0.0,1e-06,0.01408,0.910315,5.6742,292,38,"probability/score [0,1]"
AL_7,1787,39.03,0.011228,0.000281,0.041578,0.0,1.2e-05,0.006438,0.902718,13.2465,1783,220,"probability/score [0,1]"
AL_8,1787,39.03,0.01203,0.000243,0.041318,0.0,2e-06,0.007232,0.860701,11.1437,1787,223,"probability/score [0,1]"
AL_9,1787,39.03,0.011807,0.000332,0.040883,0.0,4e-06,0.00705,0.897708,13.7124,1784,239,"probability/score [0,1]"
AL_10,1787,39.03,0.011977,0.000155,0.04146,0.0,0.0,0.00655,0.900005,12.6441,1787,247,"probability/score [0,1]"
AL_11,1787,39.03,0.012095,0.00018,0.044389,0.0,1e-06,0.007736,0.902605,12.6666,1787,222,"probability/score [0,1]"
AL_12,1787,39.03,0.012095,0.000151,0.043898,0.0,0.0,0.006207,0.9,12.1266,1787,247,"probability/score [0,1]"
AL_13,1787,39.03,0.011155,0.000234,0.042202,0.0,8e-06,0.005369,0.901363,13.11,1786,240,"probability/score [0,1]"
AL_14,1787,39.03,0.010902,0.000265,0.041147,0.0,1.4e-05,0.005522,0.897661,13.1092,1785,231,"probability/score [0,1]"
AL_15,1787,39.03,0.011714,0.000133,0.04263,0.0,5e-06,0.006075,0.906845,11.8627,1786,247,"probability/score [0,1]"
AL_16,1056,63.97,0.013827,0.000492,0.051115,0.0,3.6e-05,0.007464,0.88839,10.9294,1056,132,"probability/score [0,1]"
AL_17,1056,63.97,0.014678,0.000521,0.052609,0.0,2.2e-05,0.007778,0.870586,9.5602,1056,135,"probability/score [0,1]"
AL_18,1056,63.97,0.013433,0.000168,0.051506,0.0,0.0,0.006803,0.901848,10.5575,1056,134,"probability/score [0,1]"
AL_19,1056,63.97,0.013088,0.00034,0.050876,0.0,5e-06,0.006281,0.895862,11.5643,1056,149,"probability/score [0,1]"
AL_20,1055,64.01,0.013813,0.000195,0.05198,0.0,0.0,0.006919,0.900468,11.0136,1055,136,"probability/score [0,1]"
AL_21,1055,64.01,0.013983,0.000247,0.057891,0.0,1e-06,0.006579,0.900974,10.336,1055,138,"probability/score [0,1]"
AL_22,1055,64.01,0.013671,0.000247,0.054327,0.0,0.0,0.006343,0.924442,10.9464,1055,140,"probability/score [0,1]"
AL_23,1056,63.97,0.013926,0.000398,0.052938,0.0,2.9e-05,0.008056,0.89982,11.1076,1053,128,"probability/score [0,1]"
AL_24,1055,64.01,0.013458,0.000441,0.050156,0.0,0.0,0.006517,0.894802,11.0463,1054,142,"probability/score [0,1]"
