Column,Median Pathogenic,Median Benign,Median Diff (P-B),Mann-Whitney p-value,Effect Size (r),Abs Effect Size
EK_7,7.571126,3.394596,4.17653,5.720007501536053e-73,-0.4761,0.4761
EK_9,8.059363,5.771421,2.287942,1.7798157559034056e-45,-0.391,0.391
EK_3,3.871817,2.855993,1.015824,3.452898201839346e-33,-0.3804,0.3804
EK_2,5.199082,4.527055,0.672027,1.0122042672255758e-39,-0.3475,0.3475
AL_287,0.00029,0.002029,-0.001739,5.309885275797591e-17,0.3145,0.3145
AL_215,0.00039,0.002486,-0.002096,2.0582462366231634e-12,0.2967,0.2967
AL_26,0.000362,0.003052,-0.00269,9.567513482760549e-24,0.2894,0.2894
EK_4,0.996304,0.974884,0.02142,2.3007824430070836e-27,-0.2748,0.2748
AL_186,0.000388,0.002613,-0.002225,3.619675519279098e-21,0.2669,0.2669
AL_251,0.000307,0.001851,-0.001544,2.2190046443477214e-12,0.2618,0.2618
AL_73,0.000156,0.001105,-0.000949,1.3954498160644868e-15,0.2607,0.2607
AL_94,0.000273,0.001725,-0.001451,3.6322881020052396e-13,0.2522,0.2522
AL_79,0.000125,0.000988,-0.000863,3.8239312859871124e-13,0.2519,0.2519
AL_184,0.000126,0.00072,-0.000594,1.0696681906378382e-10,0.242,0.242
AL_327,0.000203,0.001435,-0.001231,1.9777745825129777e-15,0.2382,0.2382
AL_136,9.3e-05,0.000685,-0.000592,1.0184168927550142e-12,0.2266,0.2266
AL_224,0.000155,0.000826,-0.00067,1.7865644761049082e-09,0.2199,0.2199
EK_6,0.997142,0.982324,0.014818,4.3591839075825614e-18,-0.219,0.219
AL_91,0.000141,0.000612,-0.000471,9.767804568649056e-10,0.2121,0.2121
AL_260,0.000125,0.000518,-0.000392,7.727697977993334e-09,0.2111,0.2111
AL_178,8.5e-05,0.000606,-0.000521,1.963120772463861e-10,0.2023,0.2023
AL_157,0.000119,0.001064,-0.000944,2.095220647574566e-10,0.202,0.202
AL_16,0.000209,0.000851,-0.000641,1.959319070292897e-08,0.2008,0.2008
AL_188,0.000151,0.000533,-0.000382,5.838894997511424e-08,0.1982,0.1982
AL_83,1.0,1.0,0.0,2.3637976821249084e-13,0.1912,0.1912
AL_124,0.000121,0.000634,-0.000513,4.045533678589197e-09,0.187,0.187
AL_64,0.000209,0.000858,-0.000649,1.2713482741784351e-08,0.1858,0.1858
AL_14,0.000129,0.000599,-0.00047,3.137772230470779e-10,0.1846,0.1846
AL_40,0.000164,0.001188,-0.001025,1.6492645549478336e-08,0.1843,0.1843
AL_82,7.7e-05,0.000503,-0.000426,1.7193108662961018e-07,0.1814,0.1814
AL_226,0.000177,0.000802,-0.000625,7.400353977295463e-07,0.1809,0.1809
AL_194,0.000109,0.000582,-0.000473,9.023182018938499e-07,0.1795,0.1795
AL_190,0.000128,0.000841,-0.000714,2.163009129437474e-06,0.1732,0.1732
AL_172,9.5e-05,0.000476,-0.000382,7.221757009238568e-08,0.1712,0.1712
AL_1,0.001344,0.00288,-0.001536,0.023997317724005204,0.1705,0.1705
AL_17,0.000194,0.000963,-0.000769,3.026315846270513e-06,0.1669,0.1669
EK_5,0.965118,0.939415,0.025703,2.3872682201591154e-10,-0.1659,0.1659
AL_262,0.000129,0.000769,-0.00064,7.811688907856314e-06,0.1634,0.1634
AL_92,1.0,1.0,0.0,2.3186285769435223e-09,0.1614,0.1614
AL_19,0.000156,0.000724,-0.000569,8.034767680214724e-06,0.1596,0.1596
AL_127,0.000119,0.000392,-0.000273,8.475797943359396e-07,0.1565,0.1565
AL_7,0.00017,0.000507,-0.000337,1.0473749657139422e-07,0.156,0.156
AL_24,0.000208,0.000952,-0.000744,1.4797965373523322e-05,0.155,0.155
AL_115,9.8e-05,0.000447,-0.000349,1.0833863227153551e-06,0.155,0.155
AL_296,0.000132,0.000501,-0.000368,3.79937027418274e-07,0.1523,0.1523
AL_266,8.9e-05,0.000357,-0.000268,3.698544402663099e-05,0.1508,0.1508
AL_103,0.000174,0.000409,-0.000235,2.935907794648778e-06,0.1486,0.1486
AL_77,1.0,1.0,0.0,1.1942833205609973e-08,0.1462,0.1462
AL_8,0.000134,0.000585,-0.00045,7.048065779764242e-07,0.1455,0.1455
AL_151,0.000189,0.000602,-0.000413,5.907396953824962e-06,0.144,0.144
