Dataset,Column,Miss% Pathogenic,Miss% Benign,Abs Difference
CFTR,AL_1,93.33,57.14,36.19
CFTR,AL_2,93.33,57.14,36.19
CFTR,AL_3,93.33,57.14,36.19
CFTR,AL_4,93.33,57.14,36.19
CFTR,AL_5,93.33,57.14,36.19
CFTR,AL_6,93.33,57.14,36.19
CFTR,AL_7,12.22,28.57,16.35
CFTR,AL_8,12.22,28.57,16.35
CFTR,AL_9,12.22,28.57,16.35
CFTR,AL_10,12.22,28.57,16.35
CFTR,AL_11,12.22,28.57,16.35
CFTR,AL_12,12.22,28.57,16.35
CFTR,AL_13,12.22,28.57,16.35
CFTR,AL_14,12.22,28.57,16.35
CFTR,AL_15,12.22,28.57,16.35
CFTR,AL_16,53.33,38.1,15.24
CFTR,AL_17,53.33,38.1,15.24
CFTR,AL_18,53.33,38.1,15.24
CFTR,AL_19,53.33,38.1,15.24
CFTR,AL_20,53.33,38.1,15.24
CFTR,AL_21,53.33,38.1,15.24
CFTR,AL_22,53.33,38.1,15.24
CFTR,AL_23,53.33,38.1,15.24
CFTR,AL_24,53.33,38.1,15.24
CFTR,AL_25,53.33,38.1,15.24
CFTR,AL_26,12.22,23.81,11.59
CFTR,AL_27,93.33,57.14,36.19
CFTR,AL_28,93.33,57.14,36.19
CFTR,AL_29,93.33,57.14,36.19
CFTR,AL_30,93.33,57.14,36.19
CFTR,AL_31,93.33,57.14,36.19
CFTR,AL_32,93.33,57.14,36.19
CFTR,AL_33,93.33,57.14,36.19
CFTR,AL_34,93.33,57.14,36.19
CFTR,AL_35,93.33,57.14,36.19
CFTR,AL_36,93.33,57.14,36.19
CFTR,AL_37,93.33,57.14,36.19
CFTR,AL_38,93.33,57.14,36.19
CFTR,AL_39,27.78,38.1,10.32
CFTR,AL_40,27.78,38.1,10.32
CFTR,AL_41,27.78,38.1,10.32
CFTR,AL_42,27.78,38.1,10.32
CFTR,AL_43,27.78,38.1,10.32
CFTR,AL_44,27.78,38.1,10.32
CFTR,AL_45,27.78,38.1,10.32
CFTR,AL_46,27.78,38.1,10.32
CFTR,AL_47,27.78,38.1,10.32
CFTR,AL_48,27.78,38.1,10.32
CFTR,AL_49,27.78,38.1,10.32
CFTR,AL_50,27.78,38.1,10.32
CFTR,AL_51,27.78,38.1,10.32
CFTR,AL_52,27.78,38.1,10.32
CFTR,AL_53,27.78,38.1,10.32
CFTR,AL_54,27.78,38.1,10.32
CFTR,AL_55,27.78,38.1,10.32
CFTR,AL_56,27.78,38.1,10.32
CFTR,AL_57,27.78,38.1,10.32
CFTR,AL_58,27.78,38.1,10.32
CFTR,AL_59,27.78,38.1,10.32
CFTR,AL_60,27.78,38.1,10.32
CFTR,AL_61,27.78,38.1,10.32
CFTR,AL_62,27.78,38.1,10.32
CFTR,AL_63,27.78,38.1,10.32
CFTR,AL_64,27.78,38.1,10.32
CFTR,AL_65,27.78,38.1,10.32
CFTR,AL_66,27.78,38.1,10.32
CFTR,AL_67,27.78,38.1,10.32
CFTR,AL_68,27.78,38.1,10.32
CFTR,AL_69,27.78,38.1,10.32
CFTR,AL_70,27.78,38.1,10.32
CFTR,AL_71,27.78,38.1,10.32
CFTR,AL_72,27.78,38.1,10.32
CFTR,AL_73,27.78,38.1,10.32
CFTR,AL_74,27.78,38.1,10.32
CFTR,AL_75,32.22,38.1,5.87
CFTR,AL_76,32.22,38.1,5.87
CFTR,AL_77,32.22,38.1,5.87
CFTR,AL_78,32.22,38.1,5.87
CFTR,AL_79,32.22,38.1,5.87
CFTR,AL_80,32.22,38.1,5.87
CFTR,AL_81,32.22,38.1,5.87
CFTR,AL_82,32.22,38.1,5.87
CFTR,AL_83,32.22,38.1,5.87
CFTR,AL_84,32.22,38.1,5.87
CFTR,AL_85,32.22,38.1,5.87
CFTR,AL_86,32.22,38.1,5.87
CFTR,AL_87,32.22,38.1,5.87
CFTR,AL_88,32.22,38.1,5.87
CFTR,AL_89,32.22,38.1,5.87
CFTR,AL_90,32.22,38.1,5.87
CFTR,AL_91,32.22,38.1,5.87
CFTR,AL_92,32.22,38.1,5.87
CFTR,AL_93,32.22,38.1,5.87
CFTR,AL_94,32.22,38.1,5.87
CFTR,AL_95,32.22,38.1,5.87
CFTR,AL_96,32.22,38.1,5.87
CFTR,AL_97,32.22,38.1,5.87
CFTR,AL_98,32.22,38.1,5.87
CFTR,AL_99,18.89,23.81,4.92
CFTR,AL_100,18.89,23.81,4.92
CFTR,AL_101,18.89,23.81,4.92
CFTR,AL_102,18.89,23.81,4.92
CFTR,AL_103,18.89,23.81,4.92
CFTR,AL_104,18.89,23.81,4.92
CFTR,AL_105,18.89,23.81,4.92
CFTR,AL_106,18.89,23.81,4.92
CFTR,AL_107,18.89,23.81,4.92
CFTR,AL_108,18.89,23.81,4.92
CFTR,AL_109,18.89,23.81,4.92
CFTR,AL_110,18.89,23.81,4.92
CFTR,AL_111,18.89,23.81,4.92
CFTR,AL_112,18.89,23.81,4.92
CFTR,AL_113,18.89,23.81,4.92
CFTR,AL_114,18.89,23.81,4.92
CFTR,AL_115,18.89,23.81,4.92
CFTR,AL_116,18.89,23.81,4.92
CFTR,AL_117,18.89,23.81,4.92
CFTR,AL_118,18.89,23.81,4.92
CFTR,AL_119,18.89,23.81,4.92
CFTR,AL_120,18.89,23.81,4.92
CFTR,AL_121,18.89,23.81,4.92
CFTR,AL_122,18.89,23.81,4.92
CFTR,AL_123,18.89,23.81,4.92
CFTR,AL_124,18.89,23.81,4.92
CFTR,AL_125,18.89,23.81,4.92
CFTR,AL_126,18.89,23.81,4.92
CFTR,AL_127,18.89,23.81,4.92
CFTR,AL_128,18.89,23.81,4.92
CFTR,AL_129,18.89,23.81,4.92
CFTR,AL_130,18.89,23.81,4.92
CFTR,AL_131,18.89,23.81,4.92
CFTR,AL_132,18.89,23.81,4.92
CFTR,AL_133,18.89,23.81,4.92
CFTR,AL_134,18.89,23.81,4.92
