Feature,GlobalUnique,CFTR_Unique,PAH_Unique,KANSER_Unique,MissPct,SuspectedType,Handling
AL_1,293,15,14,45,89.97,numeric,KEEP
AL_2,293,15,14,45,89.97,numeric,KEEP
AL_3,293,15,14,45,89.97,numeric,KEEP
AL_4,292,15,14,45,89.97,numeric,KEEP
AL_5,292,15,14,45,89.97,numeric,KEEP
AL_6,292,15,14,45,89.97,numeric,KEEP
AL_7,1783,94,220,215,39.03,numeric,KEEP
AL_8,1787,94,220,214,39.03,numeric,KEEP
AL_9,1784,94,220,215,39.03,numeric,KEEP
AL_10,1787,94,220,215,39.03,numeric,KEEP
AL_11,1787,94,220,215,39.03,numeric,KEEP
AL_12,1787,94,220,215,39.03,numeric,KEEP
AL_13,1786,94,220,215,39.03,numeric,KEEP
AL_14,1785,94,220,215,39.03,numeric,KEEP
AL_15,1786,94,220,215,39.03,numeric,KEEP
AL_16,1056,55,122,122,63.97,numeric,KEEP
AL_17,1056,55,122,122,63.97,numeric,KEEP
AL_18,1056,55,122,122,63.97,numeric,KEEP
AL_19,1056,55,122,122,63.97,numeric,KEEP
AL_20,1055,55,122,122,64.01,numeric,KEEP
AL_21,1055,55,122,122,64.01,numeric,KEEP
AL_22,1055,55,122,122,64.01,numeric,KEEP
AL_23,1053,55,122,122,63.97,numeric,KEEP
AL_24,1054,55,122,122,64.01,numeric,KEEP
AL_25,1055,55,122,122,64.01,numeric,KEEP
AL_26,1843,95,237,222,37.02,numeric,KEEP
CAT_1,30,23,24,26,37.02,categorical,KEEP
AL_27,6,3,6,3,91.4,low-unique,TEST
AL_28,251,15,14,39,91.4,numeric,KEEP
AL_29,5,2,8,3,91.4,low-unique,TEST
AL_30,252,15,14,39,91.4,numeric,KEEP
AL_31,14,4,14,6,91.4,numeric,KEEP
AL_32,251,15,14,39,91.4,numeric,KEEP
AL_33,13,5,14,2,91.4,numeric,KEEP
AL_34,252,15,14,39,91.4,numeric,KEEP
AL_35,10,3,14,3,91.4,low-unique,TEST
AL_36,252,15,14,39,91.4,numeric,KEEP
AL_37,12,4,14,4,91.4,numeric,KEEP
AL_38,250,15,14,39,91.4,numeric,KEEP
AL_39,4,3,19,6,48.35,quasi-constant,TEST
AL_40,1514,78,156,242,48.35,numeric,KEEP
AL_41,2,2,2,2,48.35,binary,KEEP
AL_42,2,2,21,2,48.35,binary,KEEP
AL_43,1514,78,156,242,48.35,numeric,KEEP
AL_44,2,1,2,1,48.35,binary,KEEP
AL_45,83,6,154,53,48.35,numeric,KEEP
AL_46,1514,78,156,242,48.35,numeric,KEEP
AL_47,4,1,2,1,48.35,quasi-constant,TEST
AL_48,15,3,30,7,48.35,numeric,KEEP
AL_49,1514,78,156,242,48.35,numeric,KEEP
AL_50,3,2,2,3,48.35,quasi-constant,TEST
AL_51,10,4,31,8,48.35,low-unique,TEST
AL_52,1514,78,156,242,48.35,numeric,KEEP
AL_53,6,2,2,2,48.35,low-unique,TEST
AL_54,2,2,13,2,48.35,binary,KEEP
AL_55,1514,78,156,242,48.35,numeric,KEEP
AL_56,2,2,2,2,48.35,binary,KEEP
AL_57,29,3,151,7,48.35,numeric,KEEP
AL_58,1514,78,156,242,48.35,numeric,KEEP
AL_59,2,2,2,2,48.35,binary,KEEP
AL_60,8,2,152,5,48.35,low-unique,TEST
AL_61,1514,78,156,242,48.35,numeric,KEEP
AL_62,4,1,2,2,48.35,quasi-constant,TEST
AL_63,6,2,81,5,48.35,low-unique,TEST
AL_64,1514,78,156,242,48.35,numeric,KEEP
AL_65,3,2,2,2,48.35,quasi-constant,TEST
AL_66,50,3,155,25,48.35,numeric,KEEP
AL_67,1514,78,156,242,48.35,numeric,KEEP
AL_68,6,2,3,2,48.35,low-unique,TEST
AL_69,18,3,153,6,48.35,numeric,KEEP
AL_70,1514,78,156,242,48.35,numeric,KEEP
AL_71,6,2,3,2,48.35,low-unique,TEST
AL_72,2,2,9,2,48.35,binary,KEEP
AL_73,1514,78,156,242,48.35,numeric,KEEP
AL_74,2,2,2,2,48.35,binary,KEEP
AL_75,3,2,6,2,59.16,low-unique,TEST
AL_76,1197,74,144,139,59.16,numeric,KEEP
