Column,MissPath,MissBen,AbsDiff,HigherIn
AL_19,72.82,39.64,33.18,Pathogenic
AL_16,72.82,39.64,33.18,Pathogenic
AL_23,72.82,39.64,33.18,Pathogenic
AL_18,72.82,39.64,33.18,Pathogenic
AL_17,72.82,39.64,33.18,Pathogenic
AL_25,72.82,39.77,33.05,Pathogenic
AL_24,72.82,39.77,33.05,Pathogenic
AL_22,72.82,39.77,33.05,Pathogenic
AL_21,72.82,39.77,33.05,Pathogenic
AL_20,72.82,39.77,33.05,Pathogenic
AL_216,81.57,54.48,27.1,Pathogenic
AL_217,81.57,54.48,27.1,Pathogenic
AL_214,81.57,54.48,27.1,Pathogenic
AL_215,81.57,54.48,27.1,Pathogenic
AL_250,72.82,47.95,24.87,Pathogenic
AL_253,72.82,47.95,24.87,Pathogenic
AL_252,72.82,47.95,24.87,Pathogenic
AL_251,72.82,47.95,24.87,Pathogenic
AL_288,73.15,48.59,24.56,Pathogenic
AL_287,73.15,48.59,24.56,Pathogenic
AL_286,73.15,48.59,24.56,Pathogenic
AL_289,73.15,48.59,24.56,Pathogenic
AL_248,70.92,46.8,24.11,Pathogenic
AL_239,70.92,46.8,24.11,Pathogenic
AL_240,70.92,46.8,24.11,Pathogenic
AL_255,70.92,46.8,24.11,Pathogenic
AL_254,70.92,46.8,24.11,Pathogenic
AL_249,70.92,46.8,24.11,Pathogenic
AL_247,70.92,46.8,24.11,Pathogenic
AL_241,70.92,46.8,24.11,Pathogenic
AL_242,70.92,46.8,24.11,Pathogenic
AL_243,70.92,46.8,24.11,Pathogenic
AL_244,70.92,46.8,24.11,Pathogenic
AL_245,70.92,46.8,24.11,Pathogenic
AL_246,70.92,46.8,24.11,Pathogenic
AL_285,70.92,46.8,24.11,Pathogenic
AL_262,70.92,46.8,24.11,Pathogenic
AL_256,70.92,46.8,24.11,Pathogenic
AL_268,70.92,46.8,24.11,Pathogenic
AL_278,70.92,46.8,24.11,Pathogenic
AL_277,70.92,46.8,24.11,Pathogenic
AL_276,70.92,46.8,24.11,Pathogenic
AL_274,70.92,46.8,24.11,Pathogenic
AL_273,70.92,46.8,24.11,Pathogenic
AL_272,70.92,46.8,24.11,Pathogenic
AL_271,70.92,46.8,24.11,Pathogenic
AL_270,70.92,46.8,24.11,Pathogenic
AL_269,70.92,46.8,24.11,Pathogenic
AL_267,70.92,46.8,24.11,Pathogenic
AL_257,70.92,46.8,24.11,Pathogenic
AL_266,70.92,46.8,24.11,Pathogenic
AL_265,70.92,46.8,24.11,Pathogenic
AL_264,70.92,46.8,24.11,Pathogenic
AL_263,70.92,46.8,24.11,Pathogenic
AL_237,70.92,46.8,24.11,Pathogenic
AL_261,70.92,46.8,24.11,Pathogenic
AL_260,70.92,46.8,24.11,Pathogenic
AL_259,70.92,46.8,24.11,Pathogenic
AL_258,70.92,46.8,24.11,Pathogenic
AL_238,70.92,46.8,24.11,Pathogenic
AL_230,70.92,46.8,24.11,Pathogenic
AL_236,70.92,46.8,24.11,Pathogenic
AL_209,70.92,46.8,24.11,Pathogenic
AL_207,70.92,46.8,24.11,Pathogenic
AL_206,70.92,46.8,24.11,Pathogenic
AL_205,70.92,46.8,24.11,Pathogenic
AL_187,70.92,46.8,24.11,Pathogenic
AL_188,70.92,46.8,24.11,Pathogenic
AL_189,70.92,46.8,24.11,Pathogenic
AL_190,70.92,46.8,24.11,Pathogenic
AL_191,70.92,46.8,24.11,Pathogenic
AL_192,70.92,46.8,24.11,Pathogenic
AL_193,70.92,46.8,24.11,Pathogenic
AL_194,70.92,46.8,24.11,Pathogenic
AL_195,70.92,46.8,24.11,Pathogenic
AL_196,70.92,46.8,24.11,Pathogenic
AL_197,70.92,46.8,24.11,Pathogenic
