Dataset,Column,MissPct,Band
CFTR,Variant_ID,0.0,0%
CFTR,AL_1,86.49,80-95%
CFTR,AL_2,86.49,80-95%
CFTR,AL_3,86.49,80-95%
CFTR,AL_4,86.49,80-95%
CFTR,AL_5,86.49,80-95%
CFTR,AL_6,86.49,80-95%
CFTR,AL_7,15.32,5-20%
CFTR,AL_8,15.32,5-20%
CFTR,AL_9,15.32,5-20%
CFTR,AL_10,15.32,5-20%
CFTR,AL_11,15.32,5-20%
CFTR,AL_12,15.32,5-20%
CFTR,AL_13,15.32,5-20%
CFTR,AL_14,15.32,5-20%
CFTR,AL_15,15.32,5-20%
CFTR,AL_16,50.45,50-80%
CFTR,AL_17,50.45,50-80%
CFTR,AL_18,50.45,50-80%
CFTR,AL_19,50.45,50-80%
CFTR,AL_20,50.45,50-80%
CFTR,AL_21,50.45,50-80%
CFTR,AL_22,50.45,50-80%
CFTR,AL_23,50.45,50-80%
CFTR,AL_24,50.45,50-80%
CFTR,AL_25,50.45,50-80%
CFTR,AL_26,14.41,5-20%
CFTR,CAT_1,14.41,5-20%
CFTR,AL_27,86.49,80-95%
CFTR,AL_28,86.49,80-95%
CFTR,AL_29,86.49,80-95%
CFTR,AL_30,86.49,80-95%
CFTR,AL_31,86.49,80-95%
CFTR,AL_32,86.49,80-95%
CFTR,AL_33,86.49,80-95%
CFTR,AL_34,86.49,80-95%
CFTR,AL_35,86.49,80-95%
CFTR,AL_36,86.49,80-95%
CFTR,AL_37,86.49,80-95%
CFTR,AL_38,86.49,80-95%
CFTR,AL_39,29.73,20-50%
CFTR,AL_40,29.73,20-50%
CFTR,AL_41,29.73,20-50%
CFTR,AL_42,29.73,20-50%
CFTR,AL_43,29.73,20-50%
CFTR,AL_44,29.73,20-50%
CFTR,AL_45,29.73,20-50%
CFTR,AL_46,29.73,20-50%
CFTR,AL_47,29.73,20-50%
CFTR,AL_48,29.73,20-50%
CFTR,AL_49,29.73,20-50%
CFTR,AL_50,29.73,20-50%
CFTR,AL_51,29.73,20-50%
CFTR,AL_52,29.73,20-50%
CFTR,AL_53,29.73,20-50%
CFTR,AL_54,29.73,20-50%
CFTR,AL_55,29.73,20-50%
CFTR,AL_56,29.73,20-50%
CFTR,AL_57,29.73,20-50%
CFTR,AL_58,29.73,20-50%
CFTR,AL_59,29.73,20-50%
CFTR,AL_60,29.73,20-50%
CFTR,AL_61,29.73,20-50%
CFTR,AL_62,29.73,20-50%
CFTR,AL_63,29.73,20-50%
CFTR,AL_64,29.73,20-50%
CFTR,AL_65,29.73,20-50%
CFTR,AL_66,29.73,20-50%
CFTR,AL_67,29.73,20-50%
CFTR,AL_68,29.73,20-50%
CFTR,AL_69,29.73,20-50%
CFTR,AL_70,29.73,20-50%
CFTR,AL_71,29.73,20-50%
CFTR,AL_72,29.73,20-50%
CFTR,AL_73,29.73,20-50%
CFTR,AL_74,29.73,20-50%
CFTR,AL_75,33.33,20-50%
CFTR,AL_76,33.33,20-50%
CFTR,AL_77,33.33,20-50%
CFTR,AL_78,33.33,20-50%
CFTR,AL_79,33.33,20-50%
CFTR,AL_80,33.33,20-50%
CFTR,AL_81,33.33,20-50%
CFTR,AL_82,33.33,20-50%
CFTR,AL_83,33.33,20-50%
CFTR,AL_84,33.33,20-50%
CFTR,AL_85,33.33,20-50%
CFTR,AL_86,33.33,20-50%
CFTR,AL_87,33.33,20-50%
CFTR,AL_88,33.33,20-50%
CFTR,AL_89,33.33,20-50%
CFTR,AL_90,33.33,20-50%
CFTR,AL_91,33.33,20-50%
CFTR,AL_92,33.33,20-50%
CFTR,AL_93,33.33,20-50%
CFTR,AL_94,33.33,20-50%
CFTR,AL_95,33.33,20-50%
CFTR,CAT_2,33.33,20-50%
CFTR,AL_96,33.33,20-50%
CFTR,AL_97,33.33,20-50%
CFTR,AL_98,33.33,20-50%
CFTR,CAT_3,0.0,0%
CFTR,CAT_4,0.0,0%
CFTR,EK_1,0.0,0%
CFTR,EK_2,0.0,0%
CFTR,EK_3,44.14,20-50%
CFTR,AL_99,19.82,5-20%
CFTR,AL_100,19.82,5-20%
CFTR,AL_101,19.82,5-20%
CFTR,AL_102,19.82,5-20%
CFTR,AL_103,19.82,5-20%
CFTR,AL_104,19.82,5-20%
CFTR,AL_105,19.82,5-20%
CFTR,AL_106,19.82,5-20%
CFTR,AL_107,19.82,5-20%
CFTR,AL_108,19.82,5-20%
CFTR,AL_109,19.82,5-20%
CFTR,AL_110,19.82,5-20%
CFTR,AL_111,19.82,5-20%
CFTR,AL_112,19.82,5-20%
CFTR,AL_113,19.82,5-20%
CFTR,AL_114,19.82,5-20%
CFTR,AL_115,19.82,5-20%
CFTR,AL_116,19.82,5-20%
