feature,importance_gain,importance_split,rank_gain,rank_split,category
EK_7,5334.9823424220085,189.0,1,2,extra_knowledge
AL_327,1340.5824990510941,59.2,2,19,allele_annotation
AL_16,1270.4256268382073,37.6,3,29,allele_annotation
EK_9,1084.689168789983,205.6,4,1,extra_knowledge
EK_2,1049.4925420045852,176.4,5,3,extra_knowledge
EK_6,915.6090768516063,122.4,6,7,extra_knowledge
AL_26,743.45136757195,98.0,7,10,allele_annotation
AL_11,741.6843525350093,97.4,8,12,allele_annotation
EK_8,717.6518679104745,165.8,9,4,extra_knowledge
AL_7,644.7726745963097,87.0,10,15,allele_annotation
EK_1,636.5747509494424,157.4,11,5,extra_knowledge
EK_5,611.3849191248416,128.8,12,6,extra_knowledge
AL_9,610.4032186925411,97.8,13,11,allele_annotation
EK_3,602.682471871376,121.8,14,8,extra_knowledge
EK_4,588.2558690458536,113.6,15,9,extra_knowledge
AL_8,586.4123524904251,78.8,16,17,allele_annotation
AL_14,572.4308677732945,94.8,17,13,allele_annotation
AL_10,568.2097435355187,80.4,18,16,allele_annotation
AL_12,523.9239726126194,89.2,19,14,allele_annotation
AA_1_R,518.9600913882256,44.8,20,24,amino_acid
AL_287,495.95581313371656,37.4,21,30,allele_annotation
AL_215,457.9591135025024,29.2,22,40,allele_annotation
AL_331,420.5255517244339,38.0,23,28,allele_annotation
AL_315,419.15334230065343,47.2,24,23,allele_annotation
AL_319,374.64199017882345,38.2,25,27,allele_annotation
AL_18,337.3587958037853,30.0,26,39,allele_annotation
AL_311,326.0005350112915,38.6,27,26,allele_annotation
AL_186,325.11561356782914,62.0,28,18,allele_annotation
AL_1,316.3784157514572,21.4,29,62,allele_annotation
AL_15,304.30595254600047,58.8,30,20,allele_annotation
AL_43,283.1155282020569,30.2,31,38,allele_annotation
CAT_1_enc,277.75779482126234,23.8,32,56,categorical
total_miss_count,266.1229381263256,52.8,33,22,missingness_aggregate
AL_24,258.75224430561065,24.0,34,55,allele_annotation
AL_13,253.81077176332474,56.2,35,21,allele_annotation
AL_22,252.86875776052474,41.8,36,25,allele_annotation
AL_21,234.45465500354766,25.2,37,50,allele_annotation
AL_302,233.0789165377617,26.0,38,47,allele_annotation
AL_52,230.71339492797853,36.2,39,31,allele_annotation
AL_91,215.9763459920883,33.0,40,34,allele_annotation
AL_323,215.16173379421235,28.8,41,41,allele_annotation
AL_19,199.930768430233,32.2,42,35,allele_annotation
AL_73,180.5930843949318,26.2,43,46,allele_annotation
AL_46,180.37986574172973,26.6,44,44,allele_annotation
AL_298,178.8254013299942,34.8,45,32,allele_annotation
AA_2_W,176.6675458431244,9.6,46,119,amino_acid
AL_184,174.66041227579117,23.4,47,59,allele_annotation
AL_306,174.57717601060867,26.8,48,43,allele_annotation
AL_40,172.53336086273194,30.8,49,36,allele_annotation
AL_58,171.59986952543258,25.8,50,49,allele_annotation
