feature,importance_gain,importance_split,rank_gain,rank_split,category
total_miss_count,266.1229381263256,52.8,33,22,missingness_aggregate
miss_grp_al_39_95,24.457004046440126,2.8,142,149,missingness_group
miss_grp_ek,23.521241641044618,5.4,145,134,missingness_group
total_miss_pct,23.395147562026978,7.4,146,130,missingness_aggregate
miss_grp_al_223_334,14.232583713531493,1.2,167,217,missingness_group
miss_grp_al_96_185,11.49227786064148,1.8,179,187,missingness_group
miss_EK_3,4.678448796272278,1.2,233,213,missingness_indicator
miss_AL_39,0.43973398208618164,0.2,311,298,missingness_indicator
miss_AL_260,0.0,0.0,319,549,missingness_indicator
miss_AL_259,0.0,0.0,320,548,missingness_indicator
miss_AL_261,0.0,0.0,321,547,missingness_indicator
miss_AL_258,0.0,0.0,322,546,missingness_indicator
miss_AL_262,0.0,0.0,323,545,missingness_indicator
miss_AL_264,0.0,0.0,324,544,missingness_indicator
miss_AL_293,0.0,0.0,325,543,missingness_indicator
miss_AL_268,0.0,0.0,326,542,missingness_indicator
miss_AL_265,0.0,0.0,327,541,missingness_indicator
miss_AL_281,0.0,0.0,328,487,missingness_indicator
miss_AL_257,0.0,0.0,329,540,missingness_indicator
miss_AL_291,0.0,0.0,330,539,missingness_indicator
miss_AL_290,0.0,0.0,331,538,missingness_indicator
miss_AL_289,0.0,0.0,332,537,missingness_indicator
miss_AL_288,0.0,0.0,333,536,missingness_indicator
miss_AL_287,0.0,0.0,334,535,missingness_indicator
miss_AL_286,0.0,0.0,335,534,missingness_indicator
miss_AL_285,0.0,0.0,336,533,missingness_indicator
miss_AL_283,0.0,0.0,337,550,missingness_indicator
miss_AL_282,0.0,0.0,338,532,missingness_indicator
miss_AL_279,0.0,0.0,339,551,missingness_indicator
miss_AL_266,0.0,0.0,340,553,missingness_indicator
miss_AL_278,0.0,0.0,341,570,missingness_indicator
miss_AL_277,0.0,0.0,342,569,missingness_indicator
miss_AL_275,0.0,0.0,343,568,missingness_indicator
miss_AL_274,0.0,0.0,344,567,missingness_indicator
miss_AL_273,0.0,0.0,345,566,missingness_indicator
miss_AL_271,0.0,0.0,346,565,missingness_indicator
miss_AL_270,0.0,0.0,347,564,missingness_indicator
miss_AL_269,0.0,0.0,348,563,missingness_indicator
miss_AL_267,0.0,0.0,349,562,missingness_indicator
miss_AL_295,0.0,0.0,350,561,missingness_indicator
miss_AL_294,0.0,0.0,351,560,missingness_indicator
miss_AL_215,0.0,0.0,352,559,missingness_indicator
miss_AL_255,0.0,0.0,353,558,missingness_indicator
miss_AL_223,0.0,0.0,354,557,missingness_indicator
miss_AL_230,0.0,0.0,355,556,missingness_indicator
miss_AL_229,0.0,0.0,356,555,missingness_indicator
miss_AL_228,0.0,0.0,357,554,missingness_indicator
miss_AL_227,0.0,0.0,358,552,missingness_indicator
miss_AL_226,0.0,0.0,359,531,missingness_indicator
miss_AL_225,0.0,0.0,360,530,missingness_indicator
miss_AL_224,0.0,0.0,361,529,missingness_indicator
miss_AL_222,0.0,0.0,362,507,missingness_indicator
miss_AL_254,0.0,0.0,363,506,missingness_indicator
miss_AL_221,0.0,0.0,364,505,missingness_indicator
miss_AL_219,0.0,0.0,365,504,missingness_indicator
miss_AL_218,0.0,0.0,366,503,missingness_indicator
miss_AL_213,0.0,0.0,367,502,missingness_indicator
miss_AL_297,0.0,0.0,368,501,missingness_indicator
miss_AL_214,0.0,0.0,369,500,missingness_indicator
miss_AL_217,0.0,0.0,370,498,missingness_indicator
miss_AL_232,0.0,0.0,371,489,missingness_indicator
miss_AL_216,0.0,0.0,372,497,missingness_indicator
miss_AL_234,0.0,0.0,373,496,missingness_indicator
miss_AL_235,0.0,0.0,374,495,missingness_indicator
miss_AL_253,0.0,0.0,375,494,missingness_indicator
miss_AL_252,0.0,0.0,376,493,missingness_indicator
miss_AL_251,0.0,0.0,377,492,missingness_indicator
miss_AL_250,0.0,0.0,378,491,missingness_indicator
miss_AL_249,0.0,0.0,379,490,missingness_indicator
miss_AL_247,0.0,0.0,380,508,missingness_indicator
miss_AL_246,0.0,0.0,381,509,missingness_indicator
miss_AL_245,0.0,0.0,382,510,missingness_indicator
miss_AL_243,0.0,0.0,383,511,missingness_indicator
miss_AL_242,0.0,0.0,384,528,missingness_indicator
miss_AL_241,0.0,0.0,385,527,missingness_indicator
miss_AL_240,0.0,0.0,386,526,missingness_indicator
miss_AL_239,0.0,0.0,387,525,missingness_indicator
miss_AL_238,0.0,0.0,388,524,missingness_indicator
miss_AL_237,0.0,0.0,389,523,missingness_indicator
miss_AL_296,0.0,0.0,390,522,missingness_indicator
miss_AL_298,0.0,0.0,392,520,missingness_indicator
miss_AL_210,0.0,0.0,426,654,missingness_indicator
miss_grp_al_186_222,0.0,0.0,428,652,missingness_group
miss_AL_300,0.0,0.0,429,651,missingness_indicator
miss_grp_al_27_38,0.0,0.0,430,650,missingness_group
miss_AL_321,0.0,0.0,431,649,missingness_indicator
miss_AL_319,0.0,0.0,432,648,missingness_indicator
miss_AL_318,0.0,0.0,433,647,missingness_indicator
miss_AL_317,0.0,0.0,434,646,missingness_indicator
miss_AL_315,0.0,0.0,435,645,missingness_indicator
miss_AL_314,0.0,0.0,436,644,missingness_indicator
miss_AL_313,0.0,0.0,437,643,missingness_indicator
miss_AL_311,0.0,0.0,438,642,missingness_indicator
miss_AL_310,0.0,0.0,439,641,missingness_indicator
miss_AL_308,0.0,0.0,440,640,missingness_indicator
miss_AL_306,0.0,0.0,441,639,missingness_indicator
miss_AL_305,0.0,0.0,442,638,missingness_indicator
miss_AL_304,0.0,0.0,443,636,missingness_indicator
miss_AL_302,0.0,0.0,444,614,missingness_indicator
miss_AL_301,0.0,0.0,445,594,missingness_indicator
miss_AL_322,0.0,0.0,446,613,missingness_indicator
miss_AL_323,0.0,0.0,447,591,missingness_indicator
miss_AL_325,0.0,0.0,448,590,missingness_indicator
miss_EK_4,0.0,0.0,449,589,missingness_indicator
miss_grp_al_1_26,0.0,0.0,450,588,missingness_group
miss_EK_9,0.0,0.0,451,587,missingness_indicator
miss_EK_8,0.0,0.0,452,586,missingness_indicator
miss_EK_7,0.0,0.0,453,585,missingness_indicator
miss_EK_6,0.0,0.0,454,584,missingness_indicator
miss_EK_5,0.0,0.0,455,583,missingness_indicator
miss_AL_334,0.0,0.0,456,582,missingness_indicator
miss_AL_326,0.0,0.0,457,581,missingness_indicator
miss_AL_333,0.0,0.0,458,580,missingness_indicator
miss_AL_331,0.0,0.0,459,579,missingness_indicator
miss_AL_330,0.0,0.0,460,578,missingness_indicator
miss_AL_329,0.0,0.0,461,577,missingness_indicator
miss_AL_328,0.0,0.0,462,576,missingness_indicator
miss_AL_327,0.0,0.0,463,575,missingness_indicator
miss_AL_211,0.0,0.0,464,592,missingness_indicator
miss_AL_112,0.0,0.0,465,574,missingness_indicator
miss_AL_209,0.0,0.0,466,593,missingness_indicator
miss_AL_46,0.0,0.0,467,595,missingness_indicator
miss_AL_55,0.0,0.0,468,612,missingness_indicator
miss_AL_54,0.0,0.0,469,611,missingness_indicator
miss_AL_53,0.0,0.0,470,610,missingness_indicator
miss_AL_52,0.0,0.0,471,609,missingness_indicator
