,mean_abs_shap
EK_7,0.6008912451836486
AL_327,0.1889391979550345
AA_1_R,0.16041340694396422
EK_2,0.12340630151631946
AL_1,0.12038748815772542
AL_16,0.11909812404720564
EK_6,0.10959990494223865
EK_9,0.10237977195291209
AL_311,0.08441991576247836
AL_319,0.08357601871148235
AL_26,0.08040673884953196
EK_4,0.07672101564989377
AL_11,0.07609559979138567
AL_215,0.07202413509406182
AL_8,0.06641100291481149
AL_331,0.06490215596120358
AL_12,0.06384572099776563
EK_1,0.06339539335324139
EK_5,0.06229255974950906
AL_323,0.06105567775366176
AL_287,0.05822678238164728
AL_10,0.056470463142410075
AL_315,0.05592454876804779
AL_22,0.05347033681444932
AL_73,0.046937198648256614
AL_7,0.04663755280250613
AL_67,0.04489684489113092
AL_52,0.04461770841740424
AL_14,0.044453222380197915
AL_70,0.04298148546149765
AL_61,0.04170867680007785
EK_8,0.04081453999358452
AL_9,0.03937359211511521
AL_43,0.03924171096262102
EK_3,0.03829339428759186
AL_186,0.03618600390780277
AL_19,0.03552762249948973
AA_2_R,0.03514812921608598
AL_306,0.03487695310590586
AL_18,0.03381005900673171
